rule,n_cands,median_voters,max_voters,mean_n_voters,variance_n_voters,mean_sigma_IIA,variance_sigma_IIA,mean_sigma_IIA_all_subset,variance_sigma_IIA_all_subset,mean_sigma_IIA_winner_set,variance_sigma_IIA_winner_set,mean_sigma_UM,variance_sigma_UM,mean_sigma_UM_winner_set,variance_sigma_UM_winner_set
borda,13,8532.0,9433.0,7652.5,3340828.9166666665,0.9976689976689976,6.791964833922803e-06,0.9912740834921011,7.422264746223138e-05,0.9957264957264957,9.13141938782966e-05,0.9293794582835835,0.0015181107039890264,1.0,0.0
borda,14,6924.0,6924.0,6924.0,0.0,0.9963369963369964,0.0,0.9869040098898496,0.0,1.0,0.0,0.9891797448696688,0.0,1.0,0.0
3-approval,3,700.0,739.0,700.0,1521.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3-approval,4,3448.0,6210.0,3360.9166666666665,2042585.0763888885,0.9305555555555558,0.011381172839506166,0.9565972222222224,0.004445770640432095,0.96875,0.008138020833333334,0.9493374548806174,0.007422257432867905,0.9883847342319143,0.001225676286668039
3-approval,5,3996.0,11788.0,4154.627272727273,3213102.651983471,0.9545454545454548,0.006135904499540862,0.9667613636363637,0.0024749357925849405,0.9684848484848486,0.007693663911845732,0.9265386175601503,0.006144427394208389,0.9784929937184293,0.0029106995946793736
3-approval,6,4531.0,13579.0,4632.8,2841115.6136585376,0.9734146341463416,0.0012214026042699452,0.9623069105691058,0.002223346756952706,0.974728997289973,0.0067264396559954765,0.9595140384524797,0.003116188208118042,0.9870756727288511,0.001281219743224091
3-approval,7,4819.0,13547.0,5004.563829787234,3603516.7920250488,0.9811212428233707,0.0007439286429995436,0.9539376477541371,0.0020033142476325724,0.9842536305302262,0.0028714733759976174,0.9575391682275601,0.0027356072221407387,0.9921944109174371,0.0007956566514957205
3-approval,8,5289.0,13567.0,5384.714975845411,3584256.8124810383,0.9815965033356338,0.00045550982729046583,0.9516912705601566,0.001686567440492059,0.9809279388083736,0.0031331155465834813,0.9417885770957738,0.0037269238651410712,0.991270598877354,0.0008326056541147317
3-approval,9,5480.0,13909.0,5949.4152542372885,4872376.005530022,0.9873553941350552,0.00018387982300924685,0.9577720660562954,0.0009914385729538977,0.9901129943502825,0.0012085989827592388,0.9244571198540011,0.003828983366050047,0.9923228803664583,0.0008785713563094892
3-approval,10,5910.0,14207.0,6462.492753623188,6394314.742701112,0.9882850241545893,0.00010173321820034711,0.953351314484127,0.0010674899633451368,0.9847826086956523,0.0024536161870755435,0.9111575939478791,0.004126646285687248,0.9847851529515582,0.0012265418733290803
3-approval,11,6746.0,10376.0,6418.192307692308,6012633.770710059,0.9881118881118881,0.0002142095149088156,0.9633486644106759,0.0008558171119574825,0.9915501165501166,0.0006636598638346893,0.9115744953247185,0.0021831734483563235,0.9943289731972655,0.00047143221209503254
3-approval,12,6934.0,10996.0,7347.75,4937535.1875,0.9924242424242424,6.02617079889809e-05,0.9579095177148158,0.0005575262362828774,1.0,0.0,0.8922222363893347,0.0011530145111702493,1.0,0.0
3-approval,13,8532.0,9433.0,7652.5,3340828.9166666665,0.9912587412587412,3.9280196622854164e-05,0.9661705233604644,0.0003493824046165474,0.9668803418803417,0.002471190371831402,0.9059338799120041,0.0008084130586189993,0.982776577603533,0.001483231395235614
3-approval,14,6924.0,6924.0,6924.0,0.0,0.9990842490842491,0.0,0.9924168720006122,0.0,1.0,0.0,0.9891797448696688,0.0,1.0,0.0
2-approval,3,700.0,739.0,700.0,1521.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2-approval,4,3448.0,6210.0,3360.9166666666665,2042585.0763888885,0.898148148148148,0.017018175582990396,0.9346064814814815,0.006080072766632371,0.9166666666666666,0.014756944444444444,0.9648408398570708,0.0028619384654339115,0.9742505747578097,0.002403828398007497
2-approval,5,3996.0,11788.0,4154.627272727273,3213102.651983471,0.9321212121212122,0.0051500459136822755,0.9082386363636364,0.006188339359504133,0.9506060606060606,0.008358218549127643,0.9367191063310116,0.005915500476950178,0.9746203770256039,0.0031308709656998647
2-approval,6,4531.0,13579.0,4632.8,2841115.6136585376,0.9559349593495936,0.0022479740894969925,0.9100330284552846,0.0061272518837993265,0.9667344173441734,0.005458629857301285,0.9174540073495026,0.005840501190423535,0.9735526598930562,0.0030498900769748206
2-approval,7,4819.0,13547.0,5004.563829787234,3603516.7920250488,0.9634582911178656,0.0008615160431323745,0.9084940159574468,0.002993489352058158,0.9639479905437351,0.004189268551509602,0.8695040837614351,0.0054505474434402,0.9634250632389346,0.004474470096816861
2-approval,8,5289.0,13567.0,5384.714975845411,3584256.8124810383,0.9708132045088566,0.0005648510386285564,0.9174409973832528,0.0025562693238839252,0.9694545088566828,0.003227454217458725,0.8612957904945941,0.004516966020537664,0.9572815056737131,0.004878434650412507
2-approval,9,5480.0,13909.0,5949.4152542372885,4872376.005530022,0.9745090126446059,0.00024592252554250365,0.9251701693654156,0.0016362161669110384,0.9694758317639672,0.002196108730955307,0.8427145626934702,0.005645146628246379,0.9469938808311622,0.0071828677780801
2-approval,10,5910.0,14207.0,6462.492753623188,6394314.742701112,0.9791062801932368,0.0001544571246314579,0.9278848694142512,0.0011995994500543158,0.9737922705314012,0.0016028087003197304,0.8363764962736107,0.003592147890848365,0.9451039349199164,0.006957256858508283
2-approval,11,6746.0,10376.0,6418.192307692308,6012633.770710059,0.9801087801087801,0.00013426959813906184,0.9306445074023201,0.0007381850895890762,0.9793123543123543,0.0008986618470884216,0.8287777220955174,0.0017128119404565254,0.9423187631022876,0.006338803694267783
2-approval,12,6934.0,10996.0,7347.75,4937535.1875,0.9816287878787879,2.7225378787878906e-05,0.9377464129295188,0.0007012003791818968,0.9861111111111112,0.0005787037037037043,0.8226143802787625,0.0018751068569327423,0.9815625725230163,0.002379571123783244
2-approval,13,8532.0,9433.0,7652.5,3340828.9166666665,0.9862082362082362,7.037230230703395e-05,0.9391594281730998,0.0002476678877261277,0.9540598290598291,0.002553373146321865,0.82673489220147,0.0025118619190819358,0.8966086017333353,0.007325337670541371
2-approval,14,6924.0,6924.0,6924.0,0.0,0.9908424908424909,0.0,0.9640588452752774,0.0,0.9523809523809523,0.0,0.7626050569060961,0.0,1.0,0.0
plurality,3,700.0,739.0,700.0,1521.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
plurality,4,3448.0,6210.0,3360.9166666666665,2042585.0763888885,0.9074074074074076,0.012259945130315496,0.9039351851851853,0.008783704132373109,0.9444444444444444,0.0038580246913580258,0.873321457076295,0.013714930368697864,0.9011400369540097,0.012410890921456015
plurality,5,3996.0,11788.0,4154.627272727273,3213102.651983471,0.9093939393939396,0.004669329660238751,0.8818655303030304,0.005153059806158173,0.9424242424242426,0.004361799816345271,0.8209336923171793,0.012509904223538383,0.9237357921947404,0.012992796488326384
plurality,6,4531.0,13579.0,4632.8,2841115.6136585376,0.9269105691056911,0.0017622711349064703,0.8727591463414633,0.004366196710890508,0.9294715447154472,0.004852408178553331,0.7995490808462233,0.009372315696277342,0.8969222534313115,0.014402986121687807
plurality,7,4819.0,13547.0,5004.563829787234,3603516.7920250488,0.9464370145221209,0.0007411125676231624,0.876737034574468,0.0029346266653572806,0.9318220195879771,0.003177204038062755,0.7781368637216899,0.00815096875550235,0.8699217596061338,0.015145834791614113
plurality,8,5289.0,13567.0,5384.714975845411,3584256.8124810383,0.9598861283643891,0.00037825639252410333,0.8872019316482631,0.0019519205053860368,0.9438909017713365,0.0019715146340767704,0.7621968187164143,0.0061578485415100664,0.872863200016335,0.014290661155788281
plurality,9,5480.0,13909.0,5949.4152542372885,4872376.005530022,0.9679513048157115,0.00020155057085981433,0.8963598021968322,0.0011789553740069343,0.9433458882611424,0.002178468141181072,0.752059461629596,0.006241903761691649,0.847614529313472,0.016602298532926302
plurality,10,5910.0,14207.0,6462.492753623188,6394314.742701112,0.9722624798711753,0.00023069707318464582,0.8977890755298192,0.0012261734833561753,0.9532608695652175,0.0018402121403066592,0.7405975040363022,0.006396337962730844,0.8650483297509176,0.019140263021244018
plurality,11,6746.0,10376.0,6418.192307692308,6012633.770710059,0.9753690753690754,0.0001921371385240851,0.9101376935239242,0.0010246583002183568,0.9682400932400932,0.0007815004537032517,0.7661062447604825,0.0038108607452926107,0.9210763234438211,0.010047383065356076
plurality,12,6934.0,10996.0,7347.75,4937535.1875,0.9744318181818181,8.174787649219478e-05,0.9032837706726865,0.0005620396848059567,0.9557291666666667,0.0017835828993055583,0.7473079633159724,0.001491728269365656,0.8162283995124108,0.011475196150907923
plurality,13,8532.0,9433.0,7652.5,3340828.9166666665,0.984071484071484,5.010960721916431e-05,0.9382762371318276,0.0005333088809493743,0.9700854700854702,0.0003652567755131842,0.807850644092628,0.0035746128925269057,0.9662766753771148,0.005686313118102447
plurality,14,6924.0,6924.0,6924.0,0.0,0.9880952380952381,0.0,0.9273353917946175,0.0,0.9523809523809523,0.0,0.7335152329017748,0.0,0.7335152329017748,0.0
stv,3,700.0,739.0,700.0,1521.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stv,4,3448.0,6210.0,3360.9166666666665,2042585.0763888885,0.914351851851852,0.011375814471879289,0.9126157407407409,0.009809496634945127,0.9409722222222222,0.00736641589506173,0.8956386000824964,0.008987377255618415,0.9248899363667726,0.009028948118081682
stv,5,3996.0,11788.0,4154.627272727273,3213102.651983471,0.9030303030303031,0.005485766758494034,0.8890151515151515,0.0056664030216942145,0.9430303030303034,0.0042089990817263554,0.8476904620161588,0.012148708684907784,0.9424543599928348,0.010364999035246413
stv,6,4531.0,13579.0,4632.8,2841115.6136585376,0.930569105691057,0.0021549606715579343,0.8861229674796749,0.004422657050408157,0.9363143631436315,0.003750523277590499,0.835100160893481,0.008091646005263076,0.9235168201754144,0.010610023374669578
stv,7,4819.0,13547.0,5004.563829787234,3603516.7920250488,0.9429584599797366,0.0011273437497326775,0.8856466090425532,0.0030678686740590556,0.9373100303951369,0.002748555221595707,0.8011275909143829,0.00823304700290512,0.9116189404376623,0.011646478926477456
stv,8,5289.0,13567.0,5384.714975845411,3584256.8124810383,0.95703933747412,0.00044215246134860853,0.8949267274844721,0.001916037856716587,0.9483192431561995,0.001568208839309098,0.7885861484841473,0.005458159080001035,0.905946827852924,0.011225950605547564
stv,9,5480.0,13909.0,5949.4152542372885,4872376.005530022,0.9632095776163571,0.00022357086726931203,0.9012347722457628,0.0011116101767399706,0.9421688637790333,0.0021606920913806453,0.7769279984311467,0.005401897554560593,0.9024919327230453,0.01149391169376767
stv,10,5910.0,14207.0,6462.492753623188,6394314.742701112,0.9678743961352657,0.0002069865496666587,0.9001085406422532,0.0011761645381162121,0.955314009661836,0.0018779609792527246,0.7650767622979514,0.005539227221032488,0.902918984086742,0.012553819554955093
stv,11,6746.0,10376.0,6418.192307692308,6012633.770710059,0.9735819735819735,0.0001227262765724305,0.9101670410752446,0.0010078911036335617,0.9708624708624707,0.0008242049325965414,0.7730277141216855,0.003806908007463983,0.9348761901507037,0.007470886207797923
stv,12,6934.0,10996.0,7347.75,4937535.1875,0.9742424242424242,2.8122130394857607e-05,0.9100045670678606,0.0004221324783590066,0.9600694444444445,0.0001657744984567896,0.765026499279808,0.0019830942143923454,0.8119551308257514,0.012171538622189471
stv,13,8532.0,9433.0,7652.5,3340828.9166666665,0.9811577311577312,7.671146948536233e-05,0.9250303311552085,0.0003919157669708235,0.9636752136752138,0.00035155964643144075,0.7982908016203881,0.0025226862669098034,0.9602150577698065,0.007914208141299173
stv,14,6924.0,6924.0,6924.0,0.0,0.9844322344322345,0.0,0.9366782899039949,0.0,0.9761904761904762,0.0,0.7343828050802157,0.0,0.7658752732437664,0.0
