rule,n_cands,median_voters,max_voters,mean_n_voters,variance_n_voters,mean_sigma_IIA,variance_sigma_IIA,mean_sigma_IIA_all_subset,variance_sigma_IIA_all_subset,mean_sigma_IIA_winner_set,variance_sigma_IIA_winner_set,mean_sigma_UM,variance_sigma_UM,mean_sigma_UM_winner_set,variance_sigma_UM_winner_set
borda,3,700.0,739.0,700.0,1521.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
borda,4,3448.0,6210.0,3360.9166666666665,2042585.0763888885,0.9675925925925924,0.004736796982167352,0.9780092592592591,0.0020482360253772283,0.9756944444444444,0.0041835455246913575,0.9732926985009563,0.0022020890936151113,0.9811849583305696,0.0018419513054486161
borda,5,3996.0,11788.0,4154.627272727273,3213102.651983471,0.9775757575757577,0.0012143250688705228,0.9715909090909091,0.001461211905991735,0.9881818181818184,0.0013451790633608816,0.9807815655738833,0.0015303515790316012,0.9976748509234361,0.00019411119013329836
borda,6,4531.0,13579.0,4632.8,2841115.6136585376,0.9853658536585366,0.00050670896952872,0.9760289634146342,0.0010503907282784718,0.9822493224932248,0.0018322335323624247,0.96923970877303,0.0020354750517548666,0.9902740014966994,0.0008019309720857442
borda,7,4819.0,13547.0,5004.563829787234,3603516.7920250488,0.9885173927727121,0.00022195555619427675,0.9794326241134753,0.0005494606666992825,0.9886018237082067,0.0009254682709057669,0.9557410515387151,0.0023910563114458755,0.9912544799705044,0.0007532756774280649
borda,8,5289.0,13567.0,5384.714975845411,3584256.8124810383,0.9911433172302737,0.00015297218640853948,0.9811915006038648,0.00045999445286624545,0.985859500805153,0.0013353933370025496,0.9536043368805598,0.002274441867041099,0.9903512659981613,0.0008809525427994568
borda,9,5480.0,13909.0,5949.4152542372885,4872376.005530022,0.9939131019639496,5.0359086786426966e-05,0.9872375734589385,0.00014392277861849669,0.9910546139359698,0.0005143047757983873,0.9437244608026513,0.0026216128399900156,0.9928724583048364,0.0007211392096814441
borda,10,5910.0,14207.0,6462.492753623188,6394314.742701112,0.9946859903381642,6.524850832769337e-05,0.9874659315152691,0.00022672641240678788,0.9971014492753625,0.00012042288034726631,0.9384626923770164,0.0025393003410334983,0.9890050021218958,0.0007816815136641902
borda,11,6746.0,10376.0,6418.192307692308,6012633.770710059,0.9972027972027971,1.9802350804681786e-05,0.9932057214161707,8.869365565808768e-05,1.0,0.0,0.9500278662217188,0.002436693158885547,1.0,0.0
borda,12,6934.0,10996.0,7347.75,4937535.1875,0.9926136363636364,7.887827134986242e-05,0.9854975030191705,0.00012500518978246568,0.9965277777777778,8.439429012345619e-05,0.905605218835185,0.0007358190509565855,0.9871350038459024,0.0011585568823146396
