election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
eilean_siar_2022_ward4,3,0.4978463307523656,1.0,0.6666666666666666,1.0
eilean_siar_2022_ward3,3,0.555662429035123,1.0,1.0,0.33333333333333337
moray_2017_ward3,4,0.9298242640512439,0.9219175099190682,0.625,0.25
orkney_2012_ward6,4,0.6446185024636492,0.8768316934033968,0.875,0.6666666666666667
falkirk_2012_ward8,4,0.5569981116629424,1.0,0.625,0.5
clackmannanshire_2012_ward5,4,0.8179688488321009,0.9005361983314496,0.75,0.41666666666666663
dumgal_2012_ward1,4,0.8053220820036326,0.8053220820036326,0.625,0.5833333333333334
moray_2017_ward7,4,0.7251640843931805,0.7566589336432418,0.75,0.5
south_lanarkshire_2012_ward16,4,0.6712197354308186,0.7880325996717433,0.875,0.5
shetland_2017_ward2,4,0.5672590026909344,0.47862085017004935,0.875,0.41666666666666674
east_dunbartonshire_2012_ward7,4,0.6119438617076889,0.6924162253573036,0.75,0.75
stirling_2012_ward5,4,0.6824011272531284,1.0,0.75,0.5
midlothian_2022_ward2,4,0.7645584536713003,0.6707139567393923,0.75,0.5833333333333334
highland_2022_inverness_millburn,4,0.6454744019299796,1.0,0.625,0.8333333333333334
dumgal_2012_ward2,4,1.0,0.8546854568143276,0.625,0.41666666666666674
east_ayrshire_2012_ward2,4,0.586102602486461,1.0,0.875,0.5
eilean_siar_2017_ward4,4,0.5579048174134471,0.5579048174134471,0.875,0.5833333333333334
east_dunbartonshire_2012_ward1,4,0.5557538381173801,0.7453156024509137,0.625,0.75
south_ayrshire_2012_ward8,4,0.5217625018528232,0.8731768672960846,0.875,0.5
aberdeenshire_2017_ward1,4,1.0,0.8387254449092181,0.625,0.5
aberdeenshire_2022_ward6,4,0.7186572000274853,0.6556770516624157,0.75,0.5
aberdeen_2017_ward11,4,0.5427011270339942,1.0,0.75,0.75
north_lanarkshire_2012_ward13,4,1.0,0.38350456566600905,0.625,0.41666666666666674
eilean_siar_2012_ward3,4,0.45940675755667565,0.8719736949873724,0.875,0.33333333333333337
sc_borders_2017_ward11,4,0.47983332701834075,1.0,1.0,0.5
aberdeenshire_2017_ward16,4,0.542612882072906,0.542612882072906,0.75,0.5
eilean_siar_2022_ward5,4,0.454586994448307,0.454586994448307,0.625,0.5
south_ayrshire_2012_ward6,4,0.7304685031969368,0.7304685031969368,0.75,0.16666666666666674
shetland_2017_ward6,4,0.2600545758209985,0.2600545758209985,0.625,0.5833333333333334
south_ayrshire_2017_ward6,4,0.7265277491291836,0.7265277491291836,0.75,0.75
argyll_bute_2022_ward1,4,0.5589222225259726,0.8946383322072923,0.625,0.8333333333333334
north_lanarkshire_2012_ward9,4,0.32394323905200284,0.5877058014922388,0.875,0.5
angus_2012_ward1,4,0.6123075413116635,0.6661323810929696,0.625,0.5
shetland_2012_ward5,4,0.42413913444931267,0.39107995836860726,0.625,0.5833333333333334
moray_2012_ward7,4,0.6807501583756908,1.0,0.875,0.5833333333333334
moray_2017_ward1,4,0.7989587197419145,0.815557897996435,0.75,0.6666666666666667
argyll_bute_2012_ward11,4,0.6227430701937909,0.6354919863510696,0.625,0.75
falkirk_2017_ward7,4,0.6710045324728748,0.6794245491074962,0.75,0.41666666666666674
east_renfrewshire_2012_ward4,5,0.5836069075483423,0.6851123310136482,0.5666666666666667,0.3666666666666667
renfrewshire_2017_ward11,5,0.6273975242355043,0.7199366467408157,0.5666666666666667,0.4
aberdeenshire_2022_ward2,5,0.6568159992271186,0.7346989571621446,0.6666666666666666,0.6000000000000001
perth_kinross_2022_ward5,5,0.8124387354024719,0.778255911297356,0.5666666666666667,0.4
moray_2012_ward6,5,0.6950813557504174,0.6990416482357799,0.5666666666666667,0.4666666666666667
south_ayrshire_2017_ward7,5,0.7651984828400731,0.7067409204875914,0.7333333333333333,0.3666666666666667
north_lanarkshire_2017_ward10,5,0.4826966139830049,0.4826966139830049,0.7333333333333333,0.43333333333333335
aberdeen_2022_ward11,5,0.5402209286990263,0.9250566398838777,0.7666666666666666,0.30000000000000004
perth_kinross_2012_ward7,5,0.6270919126615149,0.8247939688744707,0.4666666666666666,0.5666666666666667
aberdeenshire_2012_ward13,5,0.6906829546277478,0.6906829546277478,0.7999999999999999,0.4666666666666667
renfrewshire_2022_ward2,5,0.5808458908475986,0.5808458908475986,0.7333333333333333,0.7
north_lanarkshire_2012_ward16,5,0.7747810892700114,0.5203349401518437,0.6333333333333333,0.3666666666666666
orkney_2022_ward5,5,0.5275073990270427,1.0,0.5666666666666667,0.6000000000000001
argyll_bute_2017_ward10,5,0.5884399299498504,0.5884399299498504,0.8666666666666666,0.4
fife_2012_ward21,5,0.6032923786851608,0.6715407154081411,0.5666666666666667,0.4
edinburgh_2017_ward3,5,0.7314690669132896,1.0,0.7333333333333333,0.3666666666666667
moray_2022_ward4,5,0.7444605184129048,0.7234116724254912,0.4666666666666666,0.33333333333333326
perth_kinross_2012_ward1,5,0.6312056294791992,0.689771951291655,0.7666666666666666,0.19999999999999996
