election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
shetland_2017_ward1,5,0.9150686381815364,1.0,1.0,0.9333333333333333
moray_2022_ward1,5,0.9385449486955859,1.0,1.0,1.0
dumgal_2022_ward2,5,0.7964966975541419,1.0,1.0,1.0
dumgal_2022_ward8,5,0.9609638729730149,1.0,1.0,0.9
edinburgh_2017_ward13,5,0.8522039018146722,1.0,1.0,0.9333333333333333
east_ayrshire_2012_ward5,5,0.9808832367515418,1.0,1.0,1.0
dumgal_2012_ward9,5,1.0,1.0,1.0,1.0
fife_2012_ward9,5,1.0,1.0,0.8,0.9333333333333333
west_dunbartonshire_2022_ward4,5,1.0,1.0,1.0,1.0
east_dunbartonshire_2012_ward5,5,1.0,1.0,0.9333333333333332,0.9666666666666667
sc_borders_2012_ward6,5,0.8921236902417958,0.8921236902417958,0.7,0.7333333333333334
falkirk_2012_ward9,5,1.0,1.0,0.9,0.9666666666666667
fife_2012_ward2,5,1.0,1.0,1.0,1.0
edinburgh_2022_ward15,5,1.0,1.0,1.0,0.9333333333333333
west_dunbartonshire_2017_ward4,5,0.8578722923862011,0.8578722923862011,1.0,1.0
highland_2022_fort_william,5,1.0,1.0,1.0,0.9333333333333333
aberdeenshire_2017_ward7,5,0.9053056878500249,0.9053056878500249,1.0,0.9
east_renfrewshire_2012_ward3,5,1.0,1.0,1.0,1.0
sc_borders_2017_ward2,5,0.8100744510295668,1.0,1.0,0.9
west_lothian_2012_ward9,5,0.9333211445692576,1.0,1.0,0.9666666666666667
north_lanarkshire_2017_ward16,5,1.0,1.0,1.0,1.0
clackmannanshire_2012_ward4,5,0.8001631249491997,1.0,1.0,0.9666666666666667
highland_2012_ward3,5,1.0,1.0,1.0,1.0
renfrewshire_2022_ward10,5,1.0,1.0,1.0,1.0
eilean_siar_2017_ward7,5,1.0,1.0,1.0,1.0
shetland_2022_ward5,5,1.0,1.0,1.0,1.0
eilean_siar_2022_ward8,5,1.0,1.0,1.0,1.0
east_ayrshire_2017_ward5,5,0.8761023418730359,1.0,1.0,0.8666666666666667
falkirk_2012_ward4,5,1.0,1.0,1.0,1.0
perth_kinross_2012_ward1,5,1.0,1.0,1.0,0.9333333333333333
aberdeen_2022_ward11,5,0.9125924815274984,1.0,1.0,1.0
perth_kinross_2012_ward7,5,0.8718738965487635,1.0,1.0,0.9666666666666667
west_dunbartonshire_2022_ward5,5,0.8706829802750736,1.0,1.0,0.8666666666666667
moray_2022_ward4,5,0.9308214663189103,1.0,0.4666666666666666,0.43333333333333335
moray_2012_ward6,5,0.8974576368667428,1.0,1.0,0.9666666666666667
dumgal_2012_ward7,5,1.0,1.0,1.0,1.0
angus_2017_ward6,5,0.8154645488026206,1.0,1.0,1.0
south_ayrshire_2017_ward7,5,0.829332916984088,0.829332916984088,1.0,1.0
north_lanarkshire_2012_ward16,5,0.878462680022019,1.0,1.0,1.0
orkney_2022_ward5,5,1.0,1.0,1.0,1.0
renfrewshire_2017_ward11,5,0.8114777384833428,0.8114777384833428,1.0,1.0
aberdeenshire_2012_ward13,5,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward10,5,1.0,1.0,1.0,1.0
shetland_2017_ward7,5,0.8241285070832283,1.0,1.0,1.0
renfrewshire_2022_ward11,5,0.793636748677924,0.8952922224765262,1.0,1.0
fife_2012_ward18,5,0.8889178486203122,1.0,1.0,1.0
angus_2022_ward2,5,0.8040473293839265,0.8040473293839265,0.8333333333333333,0.9333333333333333
south_ayrshire_2017_ward4,5,0.8076053193835954,0.8076053193835954,0.7333333333333333,0.8666666666666667
perth_kinross_2012_ward3,5,1.0,1.0,1.0,1.0
east_ayrshire_2012_ward4,5,1.0,1.0,1.0,0.9333333333333333
east_lothian_2012_ward2,5,0.9398858062729846,1.0,1.0,1.0
north_lanarkshire_2022_ward21,5,0.9167649141774332,1.0,1.0,0.9666666666666667
highland_2022_tain_and_easter_ross,5,0.8567317101816228,1.0,1.0,1.0
shetland_2022_ward7,5,0.7523325044689188,1.0,1.0,0.9666666666666667
moray_2022_ward2,5,0.8085953095671305,0.8085953095671305,0.7333333333333333,0.8333333333333334
south_ayrshire_2012_ward3,5,1.0,1.0,1.0,0.9666666666666667
aberdeenshire_2012_ward15,5,0.8573284775125543,1.0,1.0,0.9333333333333333
inverclyde_2017_ward1,5,0.9190964132168234,1.0,0.6666666666666666,0.6666666666666667
aberdeenshire_2017_ward15,5,1.0,1.0,1.0,0.9666666666666667
dumgal_2017_ward11,5,0.8505385160477686,0.8505385160477686,1.0,1.0
aberdeenshire_2017_ward9,5,0.8139014056106084,0.9464014721226525,1.0,0.9666666666666667
dumgal_2022_ward7,5,0.8470128693626363,1.0,0.8,0.9333333333333333
aberdeenshire_2017_ward10,6,0.8324873289989594,0.8324873289989594,1.0,0.95
renfrewshire_2022_ward8,6,0.8693576284633152,1.0,1.0,0.9333333333333333
sc_borders_2012_ward5,6,1.0,1.0,1.0,1.0
east_ayrshire_2022_ward1,6,0.9055927785247236,1.0,0.9444444444444443,0.9
shetland_2017_ward3,6,0.8966533866169978,1.0,1.0,0.95
argyll_bute_2012_ward8,6,0.7886221357330622,1.0,1.0,0.9666666666666667
north_lanarkshire_2012_ward19,6,1.0,1.0,1.0,1.0
aberdeenshire_2022_ward7,6,1.0,1.0,1.0,1.0
clackmannanshire_2017_ward3,6,0.974912041373466,1.0,1.0,0.9333333333333333
west_lothian_2022_ward1,6,0.8890469144395131,0.8890469144395131,1.0,1.0
north_lanarkshire_2012_ward8,6,1.0,1.0,1.0,0.9833333333333333
south_lanarkshire_2012_ward11,6,1.0,1.0,1.0,1.0
inverclyde_2022_ward6,6,0.8723887839358017,1.0,1.0,1.0
aberdeenshire_2017_ward6,6,0.8915324707514345,1.0,1.0,0.9666666666666667
east_ayrshire_2022_ward4,6,1.0,1.0,1.0,0.9666666666666667
angus_2022_ward7,6,0.8946816493362515,1.0,1.0,0.9166666666666666
stirling_2012_ward6,6,1.0,1.0,1.0,1.0
edinburgh_2017_ward8,6,1.0,1.0,1.0,0.9833333333333333
shetland_2012_ward4,6,1.0,1.0,1.0,0.9
west_lothian_2012_ward6,6,0.9679827214100848,0.9679827214100848,1.0,1.0
fife_2022_ward13,6,0.9529636487702349,1.0,1.0,0.9833333333333333
moray_2022_ward5,6,0.9147424494321328,1.0,1.0,1.0
dumgal_2022_ward10,6,1.0,1.0,1.0,1.0
moray_2012_ward1,6,0.917197961032188,1.0,1.0,0.9333333333333333
east_dunbartonshire_2017_ward3,6,1.0,1.0,1.0,1.0
eilean_siar_2017_ward5,6,1.0,1.0,1.0,1.0
highland_2022_wick_and_east_caithness,6,0.891156487439416,1.0,1.0,0.9333333333333333
east_ayrshire_2022_ward9,6,1.0,1.0,1.0,1.0
argyll_bute_2017_ward2,6,1.0,1.0,1.0,1.0
aberdeenshire_2017_ward14,6,1.0,1.0,0.9444444444444443,0.95
falkirk_2017_ward1,6,1.0,1.0,0.861111111111111,0.9333333333333333
inverclyde_2017_ward3,6,1.0,1.0,1.0,0.9666666666666667
eilean_siar_2012_ward9,6,1.0,1.0,1.0,0.9833333333333333
sc_borders_2022_ward1,6,0.8544652480589493,1.0,1.0,0.8833333333333333
east_dunbartonshire_2022_ward5,6,1.0,1.0,1.0,1.0
north_lanarkshire_2022_ward10,6,0.8430229981869933,1.0,1.0,0.9666666666666667
east_ayrshire_2022_ward8,6,1.0,1.0,1.0,1.0
edinburgh_2022_ward14,6,1.0,1.0,1.0,0.9166666666666666
south_lanarkshire_2012_ward2,6,0.9148896611665686,0.9148896611665686,1.0,0.9833333333333333
moray_2022_ward7,6,0.9668561683488968,1.0,1.0,1.0
east_lothian_2017_ward6,6,1.0,1.0,0.7222222222222222,0.8666666666666667
angus_2012_ward8,6,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward14,6,1.0,1.0,0.7916666666666666,0.9
stirling_2017_ward5,6,1.0,1.0,1.0,0.9333333333333333
edinburgh_2017_ward11,6,0.8754131201926231,1.0,1.0,0.9666666666666667
north_lanarkshire_2012_ward12,6,0.8749750782415973,1.0,1.0,1.0
north_lanarkshire_2012_ward15,6,1.0,1.0,1.0,1.0
angus_2017_ward1,6,1.0,1.0,1.0,1.0
argyll_bute_2017_ward6,6,0.9148208162505189,0.9155146323730654,1.0,1.0
south_ayrshire_2012_ward1,6,1.0,1.0,0.7916666666666666,0.9333333333333333
edinburgh_2012_ward6,6,1.0,1.0,1.0,1.0
edinburgh_2012_ward11,6,1.0,1.0,1.0,1.0
aberdeenshire_2022_ward8,6,0.8783567191958436,0.8783567191958436,1.0,0.9333333333333333
fife_2022_ward18,6,0.9191404539251381,1.0,1.0,0.9333333333333333
west_lothian_2012_ward2,6,0.8393032347148468,0.8393032347148468,0.8333333333333334,0.9
east_dunbartonshire_2017_ward5,6,1.0,1.0,1.0,0.95
clackmannanshire_2012_ward3,6,1.0,1.0,1.0,0.9666666666666667
south_lanarkshire_2012_ward13,6,1.0,1.0,1.0,1.0
aberdeenshire_2022_ward11,6,1.0,1.0,1.0,0.9833333333333333
perth_kinross_2022_ward7,6,0.8996120703467331,0.8996120703467331,1.0,0.95
edinburgh_2012_ward9,6,0.935520981598463,1.0,1.0,1.0
east_ayrshire_2012_ward7,6,0.8841352704441223,1.0,1.0,1.0
midlothian_2017_ward1,6,1.0,1.0,1.0,0.95
inverclyde_2012_ward4,6,1.0,1.0,1.0,1.0
falkirk_2022_ward1,6,1.0,1.0,1.0,1.0
south_lanarkshire_2022_ward13,6,1.0,1.0,0.9166666666666666,0.9833333333333333
perth_kinross_2017_ward4,6,0.9240983872539441,0.9240983872539441,1.0,0.9
eilean_siar_2022_ward7,6,0.8556448367295935,0.8556448367295935,1.0,0.9333333333333333
north_lanarkshire_2022_ward18,6,0.8590101670224731,1.0,1.0,0.9333333333333333
west_lothian_2012_ward1,6,1.0,1.0,1.0,1.0
north_ayrshire_2022_arran,6,0.8502780226241948,1.0,0.0,0.9
south_lanarkshire_2012_ward9,6,0.9755292700730859,1.0,1.0,1.0
inverclyde_2017_ward2,6,0.8910617480163874,0.8910617480163874,1.0,1.0
north_lanarkshire_2012_ward14,6,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward7,6,1.0,1.0,1.0,1.0
dumgal_2012_ward6,6,1.0,1.0,1.0,1.0
south_lanarkshire_2012_ward4,6,0.9626271227340476,0.9626271227340476,1.0,1.0
east_dunbartonshire_2017_ward2,6,1.0,1.0,1.0,0.95
sc_borders_2022_ward10,6,1.0,1.0,1.0,1.0
north_ayrshire_2017_ward2,6,1.0,1.0,1.0,0.9166666666666666
aberdeenshire_2022_ward15,6,1.0,1.0,1.0,1.0
sc_borders_2012_ward1,6,1.0,1.0,1.0,0.95
moray_2022_ward8,6,1.0,1.0,1.0,0.9
highland_2012_ward17,6,1.0,1.0,1.0,1.0
eilean_siar_2012_ward2,6,1.0,1.0,1.0,1.0
orkney_2022_ward4,6,0.8324931763644022,1.0,1.0,0.9833333333333333
north_lanarkshire_2022_ward16,6,1.0,1.0,0.75,0.9333333333333333
south_ayrshire_2022_ward7,6,1.0,1.0,1.0,0.9166666666666666
midlothian_2017_ward5,6,0.8826130970096623,1.0,1.0,1.0
eilean_siar_2017_ward8,6,1.0,1.0,1.0,0.95
orkney_2022_ward3,6,0.8690153718887822,1.0,1.0,1.0
aberdeen_2017_ward10,6,0.8655350963147387,1.0,1.0,1.0
south_ayrshire_2022_ward6,6,1.0,1.0,1.0,1.0
sc_borders_2012_ward4,6,1.0,1.0,1.0,1.0
aberdeenshire_2017_ward2,6,1.0,1.0,1.0,1.0
south_lanarkshire_2017_ward16,6,1.0,1.0,1.0,1.0
renfrewshire_2012_ward10,6,0.967436731202035,1.0,1.0,1.0
south_lanarkshire_2012_ward10,6,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward1,6,0.9018320650378676,0.9018320650378676,0.9444444444444445,0.9833333333333333
aberdeenshire_2012_ward9,6,1.0,1.0,1.0,1.0
north_ayrshire_2017_ward8,6,1.0,1.0,1.0,0.9333333333333333
perth_kinross_2017_ward3,6,1.0,1.0,1.0,0.9666666666666667
south_ayrshire_2012_ward2,6,1.0,1.0,1.0,0.95
dumgal_2012_ward3,6,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward3,6,0.8441549970070704,0.9238829694096409,0.8333333333333334,0.9333333333333333
north_ayrshire_2022_kilwinning,6,1.0,1.0,1.0,1.0
east_renfrewshire_2012_ward6,6,0.9424184204772795,0.9424184204772795,1.0,1.0
east_dunbartonshire_2012_ward6,6,1.0,1.0,1.0,1.0
north_lanarkshire_2017_ward5,6,0.8513747729527253,1.0,1.0,0.9833333333333333
aberdeenshire_2017_ward12,6,0.9255901412784029,0.9701733675219985,1.0,1.0
sc_borders_2017_ward6,6,1.0,1.0,1.0,1.0
highland_2017_ward15,6,0.8938764131247497,1.0,0.7222222222222222,0.9333333333333333
falkirk_2017_ward2,6,0.9591875657966608,0.9591875657966608,1.0,0.95
angus_2012_ward7,6,0.9097514363924266,0.9594764220920553,0.8333333333333334,0.95
south_lanarkshire_2012_ward20,6,0.9518347137985499,1.0,1.0,1.0
aberdeenshire_2012_ward6,6,0.9221593640475652,0.9221593640475652,0.9444444444444443,0.9833333333333333
east_dunbartonshire_2022_ward2,6,0.8813802813937439,1.0,1.0,1.0
aberdeen_2022_ward7,6,1.0,1.0,1.0,0.9333333333333333
perth_kinross_2022_ward6,6,1.0,1.0,1.0,0.9666666666666667
aberdeen_2012_ward11,6,1.0,1.0,1.0,1.0
edinburgh_2017_ward9,6,0.8813558673127153,1.0,0.7222222222222222,0.9333333333333333
east_lothian_2017_ward4,6,0.8778533166822564,1.0,1.0,1.0
falkirk_2012_ward5,6,1.0,1.0,1.0,1.0
falkirk_2022_ward7,6,1.0,1.0,1.0,0.9166666666666666
sc_borders_2012_ward2,6,0.9429751763484653,1.0,1.0,0.9333333333333333
east_ayrshire_2022_ward7,6,0.9408444259613513,1.0,1.0,0.9833333333333333
south_lanarkshire_2012_ward14,6,1.0,1.0,1.0,1.0
