election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
west_dunbartonshire_2022_ward1,5,0.8068870517594202,1.0,1.0,0.9
angus_2017_ward4,5,0.9223350952167144,1.0,0.8666666666666666,0.8666666666666667
south_lanarkshire_2022_ward2,5,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward16,5,0.8030378285814248,1.0,1.0,0.9666666666666667
inverclyde_2012_ward1,5,0.7722960531260741,1.0,1.0,0.8666666666666667
highland_2022_east_sutherland,5,0.724306959100535,1.0,1.0,0.9666666666666667
east_ayrshire_2022_ward6,5,0.7556082957745746,1.0,0.9,0.9
falkirk_2012_ward1,5,1.0,1.0,0.9,0.9333333333333333
north_lanarkshire_2022_ward12,5,0.637777528511258,0.637777528511258,0.8,0.7333333333333333
moray_2012_ward4,5,0.7234716953628075,0.7234716953628075,0.8333333333333333,0.9
orkney_2017_ward5,5,0.7831004833594805,0.8108915644427822,0.9,0.9
inverclyde_2022_ward7,5,1.0,1.0,0.9,0.9
perth_kinross_2012_ward5,5,0.73112116992477,1.0,1.0,0.9
north_lanarkshire_2017_ward14,5,0.8078291543696166,1.0,0.9,0.8666666666666667
falkirk_2012_ward6,5,0.8017835425019438,1.0,1.0,0.9
eilean_siar_2012_ward8,5,0.8807367617074643,1.0,1.0,1.0
highland_2022_wester_ross_strathpeffer_and_lochalsh,5,0.6858620793615662,0.6858620793615662,0.7333333333333332,0.7
shetland_2012_ward1,5,1.0,1.0,1.0,1.0
shetland_2017_ward1,5,0.8330209677320749,1.0,1.0,0.9333333333333333
moray_2022_ward1,5,0.9115515780718313,1.0,1.0,0.9333333333333333
dumgal_2022_ward2,5,0.7876303224559293,1.0,0.9333333333333332,0.8333333333333334
dumgal_2022_ward8,5,0.8567906085626313,1.0,0.9333333333333332,0.8333333333333334
edinburgh_2017_ward13,5,0.7005269987385079,1.0,1.0,0.9
east_ayrshire_2012_ward5,5,0.9384616480872904,0.9384616480872904,0.8333333333333333,0.8333333333333334
dumgal_2012_ward9,5,0.8111959605406457,0.9618409372154748,0.9333333333333332,0.8
fife_2012_ward9,5,1.0,1.0,1.0,1.0
west_dunbartonshire_2022_ward4,5,0.7869847263307345,1.0,0.9,0.9333333333333333
east_dunbartonshire_2012_ward5,5,1.0,1.0,1.0,1.0
sc_borders_2012_ward6,5,0.9094176603228512,1.0,0.9,0.8333333333333334
falkirk_2012_ward9,5,0.9305580465465546,0.9305580465465546,0.9,0.8666666666666667
