election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
eilean_siar_2022_ward3,3,1.0,1.0,1.0,1.0
eilean_siar_2022_ward4,3,1.0,1.0,1.0,1.0
east_dunbartonshire_2012_ward1,4,1.0,1.0,1.0,1.0
south_ayrshire_2012_ward8,4,1.0,1.0,1.0,1.0
aberdeenshire_2017_ward1,4,0.9399510971447045,1.0,1.0,1.0
sc_borders_2017_ward11,4,1.0,1.0,1.0,1.0
argyll_bute_2012_ward11,4,1.0,1.0,1.0,1.0
falkirk_2017_ward7,4,1.0,1.0,1.0,1.0
north_lanarkshire_2012_ward13,4,1.0,1.0,1.0,1.0
aberdeen_2017_ward11,4,0.8496111600845342,0.8496111600845342,0.75,0.8333333333333334
eilean_siar_2012_ward3,4,0.8719736949873724,0.8719736949873724,0.75,0.8333333333333334
aberdeenshire_2022_ward6,4,1.0,1.0,0.75,0.6666666666666667
eilean_siar_2017_ward4,4,1.0,1.0,1.0,0.8333333333333334
shetland_2017_ward6,4,1.0,1.0,1.0,1.0
moray_2017_ward1,4,1.0,1.0,1.0,1.0
moray_2012_ward7,4,1.0,1.0,1.0,0.9166666666666666
south_ayrshire_2012_ward6,4,1.0,1.0,1.0,1.0
aberdeenshire_2017_ward16,4,0.864917872594473,0.864917872594473,0.75,0.75
shetland_2017_ward2,4,1.0,1.0,1.0,1.0
south_lanarkshire_2012_ward16,4,0.9793688397643552,1.0,1.0,1.0
east_ayrshire_2012_ward2,4,1.0,1.0,1.0,0.9166666666666666
dumgal_2012_ward1,4,1.0,1.0,1.0,1.0
clackmannanshire_2012_ward5,4,0.9005361983314496,0.9005361983314496,0.625,0.75
falkirk_2012_ward8,4,0.9497439593748629,1.0,1.0,1.0
moray_2017_ward7,4,1.0,1.0,0.75,0.75
moray_2017_ward3,4,0.9366402652717012,0.9803190931555483,0.75,0.5
orkney_2012_ward6,4,0.9411163708604036,0.9411163708604036,0.75,0.5833333333333334
shetland_2012_ward5,4,1.0,1.0,1.0,1.0
angus_2012_ward1,4,1.0,1.0,1.0,0.9166666666666666
eilean_siar_2022_ward5,4,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward6,4,0.9152225122457475,0.9152225122457475,0.875,0.75
argyll_bute_2022_ward1,4,0.8946383322072923,0.8946383322072923,0.75,0.8333333333333334
stirling_2012_ward5,4,1.0,1.0,0.75,0.8333333333333334
east_dunbartonshire_2012_ward7,4,1.0,1.0,1.0,1.0
highland_2022_inverness_millburn,4,1.0,1.0,1.0,0.9166666666666666
midlothian_2022_ward2,4,1.0,1.0,1.0,1.0
north_lanarkshire_2012_ward9,4,0.8358644751733203,1.0,1.0,0.9166666666666666
dumgal_2012_ward2,4,0.8546854568143276,0.8546854568143276,0.75,0.8333333333333334
east_ayrshire_2017_ward2,5,1.0,1.0,1.0,1.0
east_dunbartonshire_2022_ward7,5,1.0,1.0,1.0,0.9666666666666667
south_lanarkshire_2022_ward19,5,1.0,1.0,1.0,0.9333333333333333
aberdeenshire_2017_ward4,5,0.8793924519176654,0.9087326307870208,0.8666666666666666,0.8333333333333334
north_lanarkshire_2022_ward14,5,0.9552913114929054,1.0,1.0,0.9
argyll_bute_2022_ward11,5,0.7248536952244117,0.7248536952244117,0.7333333333333333,0.8
east_dunbartonshire_2012_ward4,5,1.0,1.0,1.0,1.0
east_ayrshire_2012_ward6,5,0.9206057698998283,0.9206057698998283,0.8666666666666666,0.9333333333333333
argyll_bute_2017_ward10,5,0.7282101852178551,0.7282101852178551,0.7333333333333332,0.7
fife_2012_ward21,5,1.0,1.0,0.9,0.9666666666666667
renfrewshire_2022_ward2,5,1.0,1.0,0.8,0.9333333333333333
