metric,rule,tiebreak,candidate_size,L,U,n_observations
sigma_UM_worst_case_asin,borda,lex,7.0,0.9499077848991226,0.9613734713373226,282
sigma_UM_worst_case_asin,borda,lex,8.0,0.9470256572562711,0.9599992581550201,207
sigma_UM_worst_case_asin,borda,lex,9.0,0.9345100633880934,0.9530519334208306,118
sigma_UM_worst_case_asin,borda,lex,10.0,0.9265679124570142,0.950224698355066,69
sigma_UM_worst_case_asin,borda,lex,11.0,0.9304904070734381,0.9681124844703274,26
sigma_UM_worst_case_asin,borda,lex,12.0,0.8851145897063213,0.9213589159447315,8
sigma_UM_worst_case_asin,borda,lex,13.0,0.9006573113983519,0.9624833364138716,6
sigma_UM_worst_case_asin,borda,lex,14.0,0.9891797448696688,0.9891797448696688,1
sigma_UM_worst_case_asin,plurality,lex,,0.7757117175126568,0.7871780313104038,1070
sigma_UM_worst_case_asin,plurality,lex,3.0,1.0,1.0,2
sigma_UM_worst_case_asin,plurality,lex,4.0,0.8335793539168965,0.9104212137990851,36
sigma_UM_worst_case_asin,plurality,lex,5.0,0.800201569814986,0.8418473752197176,110
sigma_UM_worst_case_asin,plurality,lex,6.0,0.7857811944453255,0.8126910817449845,205
sigma_UM_worst_case_asin,plurality,lex,7.0,0.7675725587272718,0.7888463425897264,282
sigma_UM_worst_case_asin,plurality,lex,8.0,0.7517563354603174,0.7730600672960747,207
sigma_UM_worst_case_asin,plurality,lex,9.0,0.7376083689647589,0.7663626067194267,118
sigma_UM_worst_case_asin,plurality,lex,10.0,0.7217011872752072,0.759807428240105,69
sigma_UM_worst_case_asin,plurality,lex,11.0,0.7419532663143642,0.7891089332369406,26
sigma_UM_worst_case_asin,plurality,lex,12.0,0.7238791909289444,0.7764153384463659,8
sigma_UM_worst_case_asin,plurality,lex,13.0,0.7588245079881046,0.8545878931036074,6
sigma_UM_worst_case_asin,plurality,lex,14.0,0.7335152329017748,0.7335152329017748,1
sigma_UM_worst_case_asin,random,lex,,0.5722657441692781,0.5837732618602697,1070
sigma_UM_worst_case_asin,random,lex,3.0,0.4978463307523656,0.555662429035123,2
sigma_UM_worst_case_asin,random,lex,4.0,0.5904781947357052,0.7039947006705871,36
sigma_UM_worst_case_asin,random,lex,5.0,0.6031313349491257,0.6474818945937589,110
sigma_UM_worst_case_asin,random,lex,6.0,0.5811736853728848,0.6085677001208553,205
sigma_UM_worst_case_asin,random,lex,7.0,0.563875119661422,0.5848278035986074,282
sigma_UM_worst_case_asin,random,lex,8.0,0.555122570032996,0.5763940996547748,207
sigma_UM_worst_case_asin,random,lex,9.0,0.5383172963728001,0.5623642819062008,118
sigma_UM_worst_case_asin,random,lex,10.0,0.5302577019507524,0.5596172507568856,69
sigma_UM_worst_case_asin,random,lex,11.0,0.513912401899227,0.5575520233967884,26
sigma_UM_worst_case_asin,random,lex,12.0,0.4867695900115022,0.5662843680081191,8
sigma_UM_worst_case_asin,random,lex,13.0,0.47595835100411604,0.5417208092547786,6
sigma_UM_worst_case_asin,random,lex,14.0,0.5778219737423004,0.5778219737423004,1
sigma_UM_worst_case_asin,ranked-pairs,lex,,0.9980078079718615,0.9990228132051177,1070
sigma_UM_worst_case_asin,ranked-pairs,lex,3.0,1.0,1.0,2
sigma_UM_worst_case_asin,ranked-pairs,lex,4.0,0.9963448829298892,1.0,36
sigma_UM_worst_case_asin,ranked-pairs,lex,5.0,1.0,1.0,110
sigma_UM_worst_case_asin,ranked-pairs,lex,6.0,0.9979408492177442,0.9996775415025854,205
sigma_UM_worst_case_asin,ranked-pairs,lex,7.0,0.9977467788346925,0.9996674310492351,282
sigma_UM_worst_case_asin,ranked-pairs,lex,8.0,0.9955275433931615,0.9988370624523585,207
sigma_UM_worst_case_asin,ranked-pairs,lex,9.0,0.9974161870405167,1.0,118
sigma_UM_worst_case_asin,ranked-pairs,lex,10.0,0.9956134286526663,0.9997194667640057,69
sigma_UM_worst_case_asin,ranked-pairs,lex,11.0,0.9906264210391692,1.0,26
sigma_UM_worst_case_asin,ranked-pairs,lex,12.0,0.9895037432827938,1.0,8
sigma_UM_worst_case_asin,ranked-pairs,lex,13.0,0.9917142566607686,1.0,6
sigma_UM_worst_case_asin,ranked-pairs,lex,14.0,1.0,1.0,1
sigma_UM_worst_case_asin,stv,lex,,0.8018998704168349,0.8130284800707495,1070
sigma_UM_worst_case_asin,stv,lex,3.0,1.0,1.0,2
sigma_UM_worst_case_asin,stv,lex,4.0,0.8634422934323401,0.9256302278280288,36
sigma_UM_worst_case_asin,stv,lex,5.0,0.8272686329986506,0.8681725468834618,110
sigma_UM_worst_case_asin,stv,lex,6.0,0.8225561920430636,0.8474652041855953,205
sigma_UM_worst_case_asin,stv,lex,7.0,0.7905695920553979,0.8119110328411808,282
sigma_UM_worst_case_asin,stv,lex,8.0,0.7786271481207673,0.7987976734064219,207
sigma_UM_worst_case_asin,stv,lex,9.0,0.7637722904816321,0.7901884686298101,118
sigma_UM_worst_case_asin,stv,lex,10.0,0.747682090688495,0.7832205387232986,69
sigma_UM_worst_case_asin,stv,lex,11.0,0.7489584945707042,0.7961245711688126,26
sigma_UM_worst_case_asin,stv,lex,12.0,0.7384432187002746,0.7991907847681952,8
sigma_UM_worst_case_asin,stv,lex,13.0,0.7571788293970435,0.8359927487311342,6
sigma_UM_worst_case_asin,stv,lex,14.0,0.7343828050802157,0.7343828050802157,1
