metric,rule,tiebreak,candidate_size,L,U,n_observations
sigma_UM_worst_case_asin,2-approval,lex,,0.8760325970635768,0.8855523264693884,1070
sigma_UM_worst_case_asin,2-approval,lex,3.0,1.0,1.0,2
sigma_UM_worst_case_asin,2-approval,lex,4.0,0.9466374700238845,0.9811939077000034,36
sigma_UM_worst_case_asin,2-approval,lex,5.0,0.9219304790311998,0.9506541399726356,110
sigma_UM_worst_case_asin,2-approval,lex,6.0,0.9067348415934248,0.927804263636364,205
sigma_UM_worst_case_asin,2-approval,lex,7.0,0.8608753940968434,0.8781166513488532,282
sigma_UM_worst_case_asin,2-approval,lex,8.0,0.852221653428696,0.8706489714110341,207
sigma_UM_worst_case_asin,2-approval,lex,9.0,0.8290382101889731,0.8561626081068029,118
sigma_UM_worst_case_asin,2-approval,lex,10.0,0.8223428353520345,0.8508443433516342,69
sigma_UM_worst_case_asin,2-approval,lex,11.0,0.8131576668106599,0.8448651538809135,26
sigma_UM_worst_case_asin,2-approval,lex,12.0,0.7931403975738363,0.8523091657087991,8
sigma_UM_worst_case_asin,2-approval,lex,13.0,0.7863652084457207,0.8644401191069786,6
sigma_UM_worst_case_asin,2-approval,lex,14.0,0.7626050569060961,0.7626050569060961,1
sigma_UM_worst_case_asin,3-approval,lex,,0.939164940944109,0.9467109303405712,1070
sigma_UM_worst_case_asin,3-approval,lex,3.0,1.0,1.0,2
sigma_UM_worst_case_asin,3-approval,lex,4.0,0.9192751205975198,0.9754885455312663,36
sigma_UM_worst_case_asin,3-approval,lex,5.0,0.9117916017550151,0.9407531965295514,110
sigma_UM_worst_case_asin,3-approval,lex,6.0,0.9517324607980122,0.9670965075884179,205
sigma_UM_worst_case_asin,3-approval,lex,7.0,0.9513470462959909,0.9636069253502277,282
sigma_UM_worst_case_asin,3-approval,lex,8.0,0.9333495617842476,0.9500551561823691,207
sigma_UM_worst_case_asin,3-approval,lex,9.0,0.9133441237813374,0.9355272521112252,118
sigma_UM_worst_case_asin,3-approval,lex,10.0,0.8957254532335082,0.9265131271504257,69
sigma_UM_worst_case_asin,3-approval,lex,11.0,0.8938654226823507,0.9293930610856782,26
sigma_UM_worst_case_asin,3-approval,lex,12.0,0.8670155130621314,0.913375357864566,8
sigma_UM_worst_case_asin,3-approval,lex,13.0,0.8847653070316656,0.9296226618440704,6
sigma_UM_worst_case_asin,3-approval,lex,14.0,0.9891797448696688,0.9891797448696688,1
sigma_UM_worst_case_asin,borda,lex,,0.9549646237970869,0.960828565295384,1070
sigma_UM_worst_case_asin,borda,lex,3.0,1.0,1.0,2
sigma_UM_worst_case_asin,borda,lex,4.0,0.9572692224820296,0.9877405595621416,36
sigma_UM_worst_case_asin,borda,lex,5.0,0.9715226271567804,0.9868537088220214,110
sigma_UM_worst_case_asin,borda,lex,6.0,0.9630656802566159,0.9753705270873807,205
