metric,rule,tiebreak,candidate_size,L,U,n_observations
sigma_IIA_winner_set_average,borda,lex,12.0,0.9895833333333334,1.0,8
sigma_IIA_winner_set_average,borda,lex,13.0,0.9871794871794872,1.0,6
sigma_IIA_winner_set_average,borda,lex,14.0,1.0,1.0,1
sigma_IIA_winner_set_average,plurality,lex,,0.9354214630558088,0.9423730278461587,1070
sigma_IIA_winner_set_average,plurality,lex,3.0,1.0,1.0,2
sigma_IIA_winner_set_average,plurality,lex,4.0,0.9236111111111112,0.9652777777777778,36
sigma_IIA_winner_set_average,plurality,lex,5.0,0.9296969696969698,0.9542424242424246,110
sigma_IIA_winner_set_average,plurality,lex,6.0,0.9190379403794038,0.9382791327913279,205
sigma_IIA_winner_set_average,plurality,lex,7.0,0.925194191151638,0.9381543397500846,282
sigma_IIA_winner_set_average,plurality,lex,8.0,0.9357387278582929,0.9491243961352657,207
sigma_IIA_winner_set_average,plurality,lex,9.0,0.934871311989956,0.9515850596359071,118
sigma_IIA_winner_set_average,plurality,lex,10.0,0.9422705314009664,0.96243961352657,69
sigma_IIA_winner_set_average,plurality,lex,11.0,0.9568764568764567,0.9784382284382284,26
sigma_IIA_winner_set_average,plurality,lex,12.0,0.9227430555555556,0.9791666666666667,8
sigma_IIA_winner_set_average,plurality,lex,13.0,0.9529914529914532,0.9850427350427351,6
sigma_IIA_winner_set_average,plurality,lex,14.0,0.9523809523809523,0.9523809523809523,1
sigma_IIA_winner_set_average,random,lex,,0.48570178631510413,0.5029152551757692,1070
sigma_IIA_winner_set_average,random,lex,3.0,0.6666666666666666,1.0,2
sigma_IIA_winner_set_average,random,lex,4.0,0.7048611111111112,0.7743055555555556,36
sigma_IIA_winner_set_average,random,lex,5.0,0.6281818181818183,0.6803030303030303,110
sigma_IIA_winner_set_average,random,lex,6.0,0.5186991869918698,0.5535230352303523,205
sigma_IIA_winner_set_average,random,lex,7.0,0.47277102330293813,0.4983958122255994,282
sigma_IIA_winner_set_average,random,lex,8.0,0.4290660225442834,0.45783011272141705,207
sigma_IIA_winner_set_average,random,lex,9.0,0.3961864406779661,0.4286723163841808,118
sigma_IIA_winner_set_average,random,lex,10.0,0.3809178743961352,0.4181159420289855,69
sigma_IIA_winner_set_average,random,lex,11.0,0.31934731934731936,0.37698135198135196,26
sigma_IIA_winner_set_average,random,lex,12.0,0.3289930555555556,0.3576388888888889,8
sigma_IIA_winner_set_average,random,lex,13.0,0.23183760683760682,0.29273504273504275,6
sigma_IIA_winner_set_average,random,lex,14.0,0.25595238095238093,0.25595238095238093,1
sigma_IIA_winner_set_average,ranked-pairs,lex,,0.9987564901349948,0.9996105919003117,1070
sigma_IIA_winner_set_average,ranked-pairs,lex,3.0,1.0,1.0,2
sigma_IIA_winner_set_average,ranked-pairs,lex,4.0,0.9895833333333334,1.0,36
sigma_IIA_winner_set_average,ranked-pairs,lex,5.0,1.0,1.0,110
sigma_IIA_winner_set_average,ranked-pairs,lex,6.0,0.9979674796747967,1.0,205
sigma_IIA_winner_set_average,ranked-pairs,lex,7.0,0.9980580884836204,0.9998311381290105,282
sigma_IIA_winner_set_average,ranked-pairs,lex,8.0,0.9979871175523349,0.9997987117552335,207
sigma_IIA_winner_set_average,ranked-pairs,lex,9.0,0.9990583804143126,1.0,118
sigma_IIA_winner_set_average,ranked-pairs,lex,10.0,0.9989130434782608,1.0,69
sigma_IIA_winner_set_average,ranked-pairs,lex,11.0,1.0,1.0,26
sigma_IIA_winner_set_average,ranked-pairs,lex,12.0,1.0,1.0,8
sigma_IIA_winner_set_average,ranked-pairs,lex,13.0,1.0,1.0,6
sigma_IIA_winner_set_average,ranked-pairs,lex,14.0,1.0,1.0,1
sigma_IIA_winner_set_average,stv,lex,,0.9396838037784299,0.946138560945804,1070
sigma_IIA_winner_set_average,stv,lex,3.0,1.0,1.0,2
sigma_IIA_winner_set_average,stv,lex,4.0,0.9097222222222222,0.9652777777777778,36
sigma_IIA_winner_set_average,stv,lex,5.0,0.9309090909090909,0.954848484848485,110
sigma_IIA_winner_set_average,stv,lex,6.0,0.9280487804878049,0.944579945799458,205
sigma_IIA_winner_set_average,stv,lex,7.0,0.9310621411685243,0.9434312732185072,282
sigma_IIA_winner_set_average,stv,lex,8.0,0.9429347826086957,0.9538546698872784,207
sigma_IIA_winner_set_average,stv,lex,9.0,0.9336942875078467,0.9504080351537978,118
sigma_IIA_winner_set_average,stv,lex,10.0,0.9450483091787439,0.9648550724637681,69
sigma_IIA_winner_set_average,stv,lex,11.0,0.9592074592074591,0.9813519813519813,26
sigma_IIA_winner_set_average,stv,lex,12.0,0.951388888888889,0.9687500000000001,8
sigma_IIA_winner_set_average,stv,lex,13.0,0.9465811965811967,0.9743589743589745,6
sigma_IIA_winner_set_average,stv,lex,14.0,0.9761904761904762,0.9761904761904762,1
