metric,rule,tiebreak,candidate_size,L,U,n_observations
sigma_IIA_winner_set_average,2-approval,lex,,0.9603078913125641,0.9684928471493891,1070
sigma_IIA_winner_set_average,2-approval,lex,3.0,1.0,1.0,2
sigma_IIA_winner_set_average,2-approval,lex,4.0,0.875,0.9548611111111112,36
sigma_IIA_winner_set_average,2-approval,lex,5.0,0.9330303030303031,0.9666666666666668,110
sigma_IIA_winner_set_average,2-approval,lex,6.0,0.9563685636856368,0.9765582655826559,205
sigma_IIA_winner_set_average,2-approval,lex,7.0,0.9560114826072272,0.9713356973995271,282
sigma_IIA_winner_set_average,2-approval,lex,8.0,0.9621074879227053,0.9776066827697262,207
sigma_IIA_winner_set_average,2-approval,lex,9.0,0.9606089139987445,0.9777150031387318,118
sigma_IIA_winner_set_average,2-approval,lex,10.0,0.9637681159420289,0.9829710144927537,69
sigma_IIA_winner_set_average,2-approval,lex,11.0,0.9685314685314684,0.9906759906759907,26
sigma_IIA_winner_set_average,2-approval,lex,12.0,0.9652777777777779,1.0,8
sigma_IIA_winner_set_average,2-approval,lex,13.0,0.9134615384615384,0.9914529914529915,6
sigma_IIA_winner_set_average,2-approval,lex,14.0,0.9523809523809523,0.9523809523809523,1
sigma_IIA_winner_set_average,3-approval,lex,,0.9767314249440417,0.9845248804068898,1070
sigma_IIA_winner_set_average,3-approval,lex,3.0,1.0,1.0,2
sigma_IIA_winner_set_average,3-approval,lex,4.0,0.9375,0.9930555555555556,36
sigma_IIA_winner_set_average,3-approval,lex,5.0,0.9509090909090908,0.983939393939394,110
sigma_IIA_winner_set_average,3-approval,lex,6.0,0.959959349593496,0.9846205962059621,205
sigma_IIA_winner_set_average,3-approval,lex,7.0,0.9778368794326241,0.9900371496116177,282
sigma_IIA_winner_set_average,3-approval,lex,8.0,0.9750905797101449,0.9889794685990339,207
sigma_IIA_winner_set_average,3-approval,lex,9.0,0.9832862523540489,0.9956842435655995,118
sigma_IIA_winner_set_average,3-approval,lex,10.0,0.9725845410628019,0.9954106280193237,69
sigma_IIA_winner_set_average,3-approval,lex,11.0,0.9801864801864801,1.0,26
sigma_IIA_winner_set_average,3-approval,lex,12.0,1.0,1.0,8
sigma_IIA_winner_set_average,3-approval,lex,13.0,0.935897435897436,1.0,6
sigma_IIA_winner_set_average,3-approval,lex,14.0,1.0,1.0,1
sigma_IIA_winner_set_average,borda,lex,,0.985467289719626,0.9896374867344493,1070
sigma_IIA_winner_set_average,borda,lex,3.0,1.0,1.0,2
sigma_IIA_winner_set_average,borda,lex,4.0,0.9513888888888888,0.9930555555555556,36
sigma_IIA_winner_set_average,borda,lex,5.0,0.9812121212121214,0.9945454545454546,110
sigma_IIA_winner_set_average,borda,lex,6.0,0.9761517615176152,0.9878726287262871,205
sigma_IIA_winner_set_average,borda,lex,7.0,0.9848868625464372,0.9920634920634921,282
sigma_IIA_winner_set_average,borda,lex,8.0,0.9807266505636071,0.9905897745571659,207
sigma_IIA_winner_set_average,borda,lex,9.0,0.986346516007533,0.9945856873822976,118
sigma_IIA_winner_set_average,borda,lex,10.0,0.9942028985507245,0.9995169082125605,69
sigma_IIA_winner_set_average,borda,lex,11.0,1.0,1.0,26
