metric,rule,tiebreak,candidate_size,L,U,n_observations
sigma_UM_winner_set_worst_case_asin,random,lex,7.0,0.6057611128277499,0.6336262964791441,282
sigma_UM_winner_set_worst_case_asin,random,lex,8.0,0.5928746759835254,0.6213988206997941,207
sigma_UM_winner_set_worst_case_asin,random,lex,9.0,0.5643857933736016,0.5913548541742321,118
sigma_UM_winner_set_worst_case_asin,random,lex,10.0,0.5442343640195814,0.5774322852137446,69
sigma_UM_winner_set_worst_case_asin,random,lex,11.0,0.5424030082888867,0.6051077292057659,26
sigma_UM_winner_set_worst_case_asin,random,lex,12.0,0.5240157873066024,0.5839522577282431,8
sigma_UM_winner_set_worst_case_asin,random,lex,13.0,0.46490191612036275,0.5464039802917474,6
sigma_UM_winner_set_worst_case_asin,random,lex,14.0,0.5520885398917875,0.5520885398917875,1
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,,0.9989214662228393,0.9996589380462788,1070
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,3.0,1.0,1.0,2
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,4.0,0.9963448829298892,1.0,36
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,5.0,1.0,1.0,110
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,6.0,0.9989018704079008,1.0,205
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,7.0,0.9981376838382984,0.9999011438001802,282
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,8.0,0.997472846674606,0.99967012071433,207
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,9.0,0.9981300758011867,1.0,118
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,10.0,0.998861513273731,1.0,69
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,11.0,1.0,1.0,26
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,12.0,1.0,1.0,8
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,13.0,1.0,1.0,6
sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,14.0,1.0,1.0,1
sigma_UM_winner_set_worst_case_asin,stv,lex,,0.9084567037105191,0.9211161579821069,1070
sigma_UM_winner_set_worst_case_asin,stv,lex,3.0,1.0,1.0,2
sigma_UM_winner_set_worst_case_asin,stv,lex,4.0,0.8918689011682464,0.9541416328747407,36
sigma_UM_winner_set_worst_case_asin,stv,lex,5.0,0.9226649880026563,0.9608355979569216,110
sigma_UM_winner_set_worst_case_asin,stv,lex,6.0,0.9092792318213082,0.937383760219464,205
sigma_UM_winner_set_worst_case_asin,stv,lex,7.0,0.8989262042133805,0.9243128340557171,282
sigma_UM_winner_set_worst_case_asin,stv,lex,8.0,0.8914881227872465,0.9201462651972401,207
sigma_UM_winner_set_worst_case_asin,stv,lex,9.0,0.882492999916804,0.9219589026476247,118
sigma_UM_winner_set_worst_case_asin,stv,lex,10.0,0.8768851657696944,0.9289505801001169,69
sigma_UM_winner_set_worst_case_asin,stv,lex,11.0,0.9009831465873609,0.9671156093014049,26
sigma_UM_winner_set_worst_case_asin,stv,lex,12.0,0.7432478309065707,0.9004277674045984,8
sigma_UM_winner_set_worst_case_asin,stv,lex,13.0,0.8806451733094195,1.0,6
sigma_UM_winner_set_worst_case_asin,stv,lex,14.0,0.7658752732437664,0.7658752732437664,1
