metric_iia,metric_um,rule,tiebreak,candidate_size,iia_L,iia_U,um_L,um_U,n_pairs,sizes_used,overlap_counts_by_size
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,,0.9863067608663397,0.9893784185375887,0.9545395630234155,0.9612808696404447,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,4.0,0.9398148148148147,0.9907407407407407,0.9544216014098478,0.9895547453655246,36,"[""4""]","{""4"": 36}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,5.0,0.9703030303030308,0.9848484848484852,0.9704386129843232,0.9877684147262905,110,"[""5""]","{""5"": 110}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,6.0,0.98170731707317,0.9887002032520322,0.9621274443437551,0.9761482564500776,205,"[""6""]","{""6"": 205}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,7.0,0.9864910503208368,0.9904424181019914,0.9491600592679718,0.9622168996882272,282,"[""7""]","{""7"": 282}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,8.0,0.989159190246148,0.9929549114331734,0.9458502631260985,0.9608167093372889,207,"[""8""]","{""8"": 207}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,9.0,0.992399784772667,0.995325531342481,0.9332006636513124,0.9539417678952204,118,"[""9""]","{""9"": 118}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,10.0,0.9923107890499193,0.9966988727858294,0.9248765271589509,0.9520366286090989,69,"[""10""]","{""10"": 69}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,11.0,0.9950271950271952,0.998912198912199,0.9273475811486335,0.9701431211000451,26,"[""11""]","{""11"": 26}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,12.0,0.9846590909090908,0.9981060606060606,0.8817375758822058,0.9234518464754771,8,"[""12""]","{""12"": 8}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,13.0,0.9951437451437452,0.9996114996114995,0.8977551511301738,0.966277754002202,6,"[""13""]","{""13"": 6}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,14.0,0.9963369963369964,0.9963369963369964,0.9891797448696688,0.9891797448696688,1,"[""14""]","{""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,,0.9423579034866959,0.9483738264266854,0.7749416253278273,0.7878222948024008,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,4.0,0.863425925925926,0.9467592592592591,0.8277339234342755,0.9157714142600554,36,"[""4""]","{""4"": 36}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,5.0,0.8948484848484849,0.9239393939393937,0.7972706850284917,0.8448183428692232,110,"[""5""]","{""5"": 110}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,6.0,0.9201626016260166,0.9331707317073169,0.7839623752877558,0.8144913243389382,205,"[""6""]","{""6"": 205}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,7.0,0.9429922323539328,0.9500844309354932,0.7665324536459815,0.7902197705702424,282,"[""7""]","{""7"": 282}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,8.0,0.9566367609845895,0.9628191856452746,0.7502222025940906,0.7738934138738888,207,"[""8""]","{""8"": 207}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,9.0,0.9648910411622273,0.9709106806564433,0.7358389439705254,0.7687031426966157,118,"[""9""]","{""9"": 118}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,10.0,0.9679146537842186,0.9760869565217386,0.7193932119889183,0.7631824983114045,69,"[""10""]","{""10"": 69}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,11.0,0.9687645687645686,0.9807303807303808,0.7394941055993788,0.792760074396169,26,"[""11""]","{""11"": 26}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,12.0,0.9666666666666666,0.9804924242424241,0.7219667437562415,0.7809768915253963,8,"[""12""]","{""12"": 8}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,13.0,0.9778554778554779,0.9904817404817404,0.7526378652917893,0.8604897416305151,6,"[""13""]","{""13"": 6}"
sigma_IIA_average,sigma_UM_worst_case_asin,plurality,lex,14.0,0.9880952380952381,0.9880952380952381,0.7335152329017748,0.7335152329017748,1,"[""14""]","{""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,,0.49327161869802116,0.503522728990895,0.5715743764821659,0.5846384380192925,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,3.0,0.33333333333333337,1.0,0.4978463307523656,0.555662429035123,2,"[""3""]","{""3"": 2}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,4.0,0.4884259259259259,0.599537037037037,0.5827481512758952,0.7104521746455618,36,"[""4""]","{""4"": 36}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,5.0,0.4599999999999999,0.506060606060606,0.6001608976500433,0.6505608841157935,110,"[""5""]","{""5"": 110}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,6.0,0.4870731707317074,0.5117886178861791,0.5789097325490161,0.611326873812066,205,"[""6""]","{""6"": 205}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,7.0,0.486355538669368,0.504019334684228,0.5625171059087037,0.5861048808897333,282,"[""7""]","{""7"": 282}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,8.0,0.4909995399125832,0.5074192690361169,0.5531848661135641,0.5778752450747937,207,"[""8""]","{""8"": 207}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,9.0,0.49129001883239176,0.5099210552865214,0.5367914517564794,0.5646419087713925,118,"[""9""]","{""9"": 118}"
