metric_iia,metric_um,rule,tiebreak,candidate_size,iia_L,iia_U,um_L,um_U,n_pairs,sizes_used,overlap_counts_by_size
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,,0.9596542098596731,0.9691231008169549,0.9574176326753437,0.9665999626476119,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,4.0,0.8680555555555556,0.9583333333333334,0.9548519044168349,0.9910262925211119,36,"[""4""]","{""4"": 36}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,5.0,0.9296969696969696,0.9693939393939391,0.961962690118782,0.9856746488276408,110,"[""5""]","{""5"": 110}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,6.0,0.9546070460704611,0.9776431233062333,0.9644532771201885,0.981826211680179,205,"[""6""]","{""6"": 205}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,7.0,0.9548294495103008,0.9722222222222219,0.953894667969067,0.9719688454618974,282,"[""7""]","{""7"": 282}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,8.0,0.9607984853059579,0.9784621578099841,0.9460222036690975,0.9677842722605233,207,"[""8""]","{""8"": 207}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,9.0,0.9595103578154421,0.9787350910232263,0.9291508534969192,0.9634559934869044,118,"[""9""]","{""9"": 118}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,10.0,0.9625603864734298,0.9839371980676326,0.9218674865910944,0.9656977524237408,69,"[""10""]","{""10"": 69}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,11.0,0.9662004662004661,0.9930069930069928,0.9063815671716162,0.9746007376134572,26,"[""11""]","{""11"": 26}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,12.0,0.9652777777777778,1.0,0.9446877175690488,1.0,8,"[""12""]","{""12"": 8}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,13.0,0.9080929487179487,1.0,0.8183298057943782,0.9738970850956689,6,"[""13""]","{""13"": 6}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,2-approval,lex,14.0,0.9523809523809523,0.9523809523809523,1.0,1.0,1,"[""14""]","{""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,,0.976062463280921,0.984971640887237,0.9866962026519093,0.9913448320231232,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,4.0,0.9305555555555556,1.0,0.9739248443878554,1.0,36,"[""4""]","{""4"": 36}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,5.0,0.9475757575757576,0.9857575757575759,0.9666288424043756,0.9893921744818269,110,"[""5""]","{""5"": 110}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,6.0,0.9578590785907862,0.9859078590785909,0.9812785259055339,0.9923435332422477,205,"[""6""]","{""6"": 205}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,7.0,0.9768237082066874,0.9907548125633233,0.9882472247148926,0.9957263197943507,282,"[""7""]","{""7"": 282}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,8.0,0.9739331723027376,0.9896846064814816,0.9861645372009558,0.9951996039419533,207,"[""8""]","{""8"": 207}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,9.0,0.9822661644695543,0.996390458254865,0.9856879280688833,0.9977114520151932,118,"[""9""]","{""9"": 118}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,10.0,0.9706521739130436,0.9963768115942029,0.9746990408406818,0.9932794944385737,69,"[""10""]","{""10"": 69}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,11.0,0.9781468531468533,1.0,0.9829869195917966,1.0,26,"[""11""]","{""11"": 26}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,12.0,1.0,1.0,1.0,1.0,8,"[""12""]","{""12"": 8}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,13.0,0.9305555555555557,1.0,0.9483297328105987,1.0,6,"[""13""]","{""13"": 6}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,3-approval,lex,14.0,1.0,1.0,1.0,1.0,1,"[""14""]","{""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,,0.9850938956417196,0.9898594385343803,0.9893922496758021,0.9932309941884844,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,4.0,0.9479166666666666,0.9965277777777778,0.9633241791575271,0.995669022034951,36,"[""4""]","{""4"": 36}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,5.0,0.9800000000000002,0.9954545454545455,0.9917658325746019,1.0,110,"[""5""]","{""5"": 110}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,6.0,0.975067750677507,0.9884823848238483,0.9856286766164712,0.9944087565450347,205,"[""6""]","{""6"": 205}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,7.0,0.9841269841269841,0.9924856467409657,0.9874553339138249,0.9947953003473164,282,"[""7""]","{""7"": 282}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,8.0,0.9796698872785832,0.9911433172302738,0.9853401196234068,0.9945180301742623,207,"[""8""]","{""8"": 207}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,9.0,0.98556183301946,0.9949780288763339,0.9866496242939107,0.9976927723712423,118,"[""9""]","{""9"": 118}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,10.0,0.993719806763285,0.9995169082125605,0.9809048416232432,0.9958429391094622,69,"[""10""]","{""10"": 69}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,11.0,1.0,1.0,1.0,1.0,26,"[""11""]","{""11"": 26}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,12.0,0.9895833333333334,1.0,0.9614050115377069,1.0,8,"[""12""]","{""12"": 8}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,13.0,0.9871794871794872,1.0,1.0,1.0,6,"[""13""]","{""13"": 6}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,borda,lex,14.0,1.0,1.0,1.0,1.0,1,"[""14""]","{""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,,0.9349194845452891,0.9428005748605223,0.8720942712162205,0.8887068817165787,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,4.0,0.9201388888888888,0.9652777777777778,0.8562752142464637,0.9405098723064079,36,"[""4""]","{""4"": 36}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,5.0,0.9278787878787884,0.9560606060606059,0.8987905672658622,0.9472874399853372,110,"[""5""]","{""5"": 110}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,6.0,0.9178184281842817,0.9396341463414636,0.8769057773350035,0.9138104298630568,205,"[""6""]","{""6"": 205}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,7.0,0.9242227077001008,0.9390830800405262,0.8535036271708782,0.8863219992311295,282,"[""7""]","{""7"": 282}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,8.0,0.9344806763285028,0.9498295340177145,0.8533463397966154,0.8897489945681192,207,"[""8""]","{""8"": 207}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,9.0,0.9332234777150022,0.9526845966729434,0.8208609762720713,0.8740659631130293,118,"[""9""]","{""9"": 118}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,10.0,0.9405797101449274,0.9643719806763286,0.8273269210270487,0.901075224512412,69,"[""10""]","{""10"": 69}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,11.0,0.9554195804195801,0.9804778554778552,0.8743964985657172,0.9630209168768717,26,"[""11""]","{""11"": 26}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,12.0,0.9175347222222222,0.982638888888889,0.7479601785687765,0.9094441933160766,8,"[""12""]","{""12"": 8}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,13.0,0.952991452991453,0.9871794871794872,0.8988300261313448,1.0,6,"[""13""]","{""13"": 6}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,plurality,lex,14.0,0.9523809523809523,0.9523809523809523,0.7335152329017748,0.7335152329017748,1,"[""14""]","{""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,,0.48457724578716144,0.5038579557476319,0.619469254000897,0.6376216625992543,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,3.0,0.6666666666666666,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,4.0,0.7013888888888888,0.78125,0.6770925736976692,0.8236269835443614,36,"[""4""]","{""4"": 36}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,5.0,0.6245454545454544,0.684242424242424,0.6571285479836807,0.7263604186831433,110,"[""5""]","{""5"": 110}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,6.0,0.5167344173441734,0.5560984078590785,0.6457014537552422,0.6917059842987536,205,"[""6""]","{""6"": 205}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,7.0,0.4709557581898007,0.5001271740965887,0.6041195221522787,0.6354798677760896,282,"[""7""]","{""7"": 282}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,8.0,0.42728462157809993,0.46016555958132027,0.5908584640022092,0.6233788790494458,207,"[""8""]","{""8"": 207}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,9.0,0.39414626490897686,0.43134023854362813,0.5625501933338143,0.5940560531934764,118,"[""9""]","{""9"": 118}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,10.0,0.3782608695652174,0.42077294685990313,0.5421492554824423,0.579758529629352,69,"[""10""]","{""10"": 69}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,11.0,0.3164306526806527,0.38129443473193475,0.5373564265519887,0.6114709388610742,26,"[""11""]","{""11"": 26}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,12.0,0.3272569444444445,0.3585069444444445,0.5189937874349837,0.5863024720218706,8,"[""12""]","{""12"": 8}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,13.0,0.2264957264957265,0.29700854700854695,0.45743501061171227,0.5503683275040939,6,"[""13""]","{""13"": 6}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,random,lex,14.0,0.25595238095238093,0.25595238095238093,0.5520885398917875,0.5520885398917875,1,"[""14""]","{""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,,0.9986767480096921,0.9996631310883648,0.998853904694034,0.999694569957382,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,4.0,0.9861111111111112,1.0,0.9951265105731856,1.0,36,"[""4""]","{""4"": 36}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,5.0,1.0,1.0,1.0,1.0,110,"[""5""]","{""5"": 110}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,6.0,0.9977642276422766,1.0,0.9988068746063019,1.0,205,"[""6""]","{""6"": 205}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,7.0,0.9978892266126308,1.0,0.9980184311056738,1.0,282,"[""7""]","{""7"": 282}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,8.0,0.9977858293075687,0.9997987117552335,0.9972785137582103,0.9997493025593116,207,"[""8""]","{""8"": 207}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,9.0,0.9987445072190835,1.0,0.9975067677349156,1.0,118,"[""9""]","{""9"": 118}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,10.0,0.9985507246376812,1.0,0.9984820176983078,1.0,69,"[""10""]","{""10"": 69}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,11.0,1.0,1.0,1.0,1.0,26,"[""11""]","{""11"": 26}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,12.0,1.0,1.0,1.0,1.0,8,"[""12""]","{""12"": 8}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,13.0,1.0,1.0,1.0,1.0,6,"[""13""]","{""13"": 6}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,ranked-pairs,lex,14.0,1.0,1.0,1.0,1.0,1,"[""14""]","{""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,stv,lex,,0.9393085765696776,0.94659622965625,0.9075530809925672,0.9222972416007268,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,stv,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_winner_set_average,sigma_UM_winner_set_worst_case_asin,stv,lex,4.0,0.90625,0.96875,0.8878527731859932,0.958571931159022,36,"[""4""]","{""4"": 36}"
