metric,rule,tiebreak,candidate_size,L,U,n_observations
sigma_IIA_average,2-approval,lex,,0.9580697028827871,0.963755844363321,1070
sigma_IIA_average,2-approval,lex,3.0,1.0,1.0,2
sigma_IIA_average,2-approval,lex,4.0,0.8541666666666666,0.9375,36
sigma_IIA_average,2-approval,lex,5.0,0.9181818181818184,0.9451515151515153,110
sigma_IIA_average,2-approval,lex,6.0,0.9491869918699186,0.9621951219512195,205
sigma_IIA_average,2-approval,lex,7.0,0.9599121918270854,0.9669030732860519,282
sigma_IIA_average,2-approval,lex,8.0,0.9674775707384404,0.9740338164251208,207
sigma_IIA_average,2-approval,lex,9.0,0.9717177831584609,0.9772329835889157,118
sigma_IIA_average,2-approval,lex,10.0,0.9761272141706924,0.9819645732689212,69
sigma_IIA_average,2-approval,lex,11.0,0.9756021756021755,0.9846153846153846,26
sigma_IIA_average,2-approval,lex,12.0,0.977840909090909,0.9848484848484849,8
sigma_IIA_average,2-approval,lex,13.0,0.9788267288267289,0.9922299922299921,6
sigma_IIA_average,2-approval,lex,14.0,0.9908424908424909,0.9908424908424909,1
sigma_IIA_average,3-approval,lex,,0.9741800981987899,0.9792036182924034,1070
sigma_IIA_average,3-approval,lex,3.0,1.0,1.0,2
sigma_IIA_average,3-approval,lex,4.0,0.8935185185185186,0.9629629629629631,36
sigma_IIA_average,3-approval,lex,5.0,0.9387878787878787,0.9678787878787879,110
sigma_IIA_average,3-approval,lex,6.0,0.9682926829268292,0.9779674796747968,205
sigma_IIA_average,3-approval,lex,7.0,0.9778790949003717,0.98419452887538,282
sigma_IIA_average,3-approval,lex,8.0,0.9787784679089027,0.9845583160800553,207
sigma_IIA_average,3-approval,lex,9.0,0.9847995695453324,0.9896758138283562,118
sigma_IIA_average,3-approval,lex,10.0,0.9858695652173912,0.9905797101449276,69
sigma_IIA_average,3-approval,lex,11.0,0.9818958818958818,0.9930069930069929,26
sigma_IIA_average,3-approval,lex,12.0,0.9867424242424243,0.9973484848484848,8
sigma_IIA_average,3-approval,lex,13.0,0.9862082362082362,0.9961149961149961,6
sigma_IIA_average,3-approval,lex,14.0,0.9990842490842491,0.9990842490842491,1
sigma_IIA_average,borda,lex,,0.9865196745103288,0.9892727651372509,1070
sigma_IIA_average,borda,lex,3.0,1.0,1.0,2
sigma_IIA_average,borda,lex,4.0,0.9421296296296298,0.9884259259259258,36
sigma_IIA_average,borda,lex,5.0,0.9712121212121214,0.9839393939393941,110
sigma_IIA_average,borda,lex,6.0,0.9822764227642277,0.9883739837398374,205
sigma_IIA_average,borda,lex,7.0,0.9867274569402229,0.9902735562310031,282
sigma_IIA_average,borda,lex,8.0,0.9894179894179895,0.9927536231884058,207
sigma_IIA_average,borda,lex,9.0,0.9926015603981707,0.9951573849878936,118
sigma_IIA_average,borda,lex,10.0,0.9926328502415458,0.9964170692431562,69
sigma_IIA_average,borda,lex,11.0,0.9953379953379954,0.9987567987567988,26
sigma_IIA_average,borda,lex,12.0,0.9857954545454546,0.9977272727272727,8
sigma_IIA_average,borda,lex,13.0,0.9953379953379954,0.9996114996114995,6
sigma_IIA_average,borda,lex,14.0,0.9963369963369964,0.9963369963369964,1
sigma_IIA_average,plurality,lex,,0.942772580482861,0.9480202040949705,1070
sigma_IIA_average,plurality,lex,3.0,1.0,1.0,2
sigma_IIA_average,plurality,lex,4.0,0.8703703703703705,0.9421296296296298,36
sigma_IIA_average,plurality,lex,5.0,0.8963636363636366,0.9221212121212125,110
sigma_IIA_average,plurality,lex,6.0,0.9208943089430894,0.9323577235772358,205
sigma_IIA_average,plurality,lex,7.0,0.9433299560959135,0.9496453900709221,282
sigma_IIA_average,plurality,lex,8.0,0.9570105820105818,0.9623590982286634,207
sigma_IIA_average,plurality,lex,9.0,0.9653618509550712,0.9704398708635996,118
sigma_IIA_average,plurality,lex,10.0,0.9683977455716586,0.9755636070853463,69
sigma_IIA_average,plurality,lex,11.0,0.9696192696192697,0.9802641802641803,26
sigma_IIA_average,plurality,lex,12.0,0.9678030303030303,0.9803030303030302,8
sigma_IIA_average,plurality,lex,13.0,0.9786324786324786,0.98989898989899,6
sigma_IIA_average,plurality,lex,14.0,0.9880952380952381,0.9880952380952381,1
sigma_IIA_average,random,lex,,0.4938689892661855,0.5028826625088307,1070
sigma_IIA_average,random,lex,3.0,0.33333333333333337,1.0,2
sigma_IIA_average,random,lex,4.0,0.49537037037037046,0.5925925925925927,36
sigma_IIA_average,random,lex,5.0,0.4624242424242423,0.5033333333333333,110
sigma_IIA_average,random,lex,6.0,0.48845528455284554,0.5102439024390244,205
sigma_IIA_average,random,lex,7.0,0.4872340425531915,0.5026004728132388,282
sigma_IIA_average,random,lex,8.0,0.49191971474580176,0.506354957441914,207
sigma_IIA_average,random,lex,9.0,0.4923661555017487,0.5087436104385257,118
sigma_IIA_average,random,lex,10.0,0.48148148148148145,0.5047101449275364,69
sigma_IIA_average,random,lex,11.0,0.5021756021756022,0.5290598290598291,26
sigma_IIA_average,random,lex,12.0,0.4867424242424242,0.5100378787878789,8
sigma_IIA_average,random,lex,13.0,0.471056721056721,0.5180652680652681,6
sigma_IIA_average,random,lex,14.0,0.5073260073260074,0.5073260073260074,1
sigma_IIA_average,ranked-pairs,lex,,0.9994405801882439,0.9997994087947358,1070
sigma_IIA_average,ranked-pairs,lex,3.0,1.0,1.0,2
sigma_IIA_average,ranked-pairs,lex,4.0,0.9930555555555554,1.0,36
sigma_IIA_average,ranked-pairs,lex,5.0,1.0,1.0,110
sigma_IIA_average,ranked-pairs,lex,6.0,0.9991056910569106,0.9998373983739838,205
sigma_IIA_average,ranked-pairs,lex,7.0,0.9994596420128335,0.9998986828774061,282
sigma_IIA_average,ranked-pairs,lex,8.0,0.9993961352657005,0.9998274672187716,207
sigma_IIA_average,ranked-pairs,lex,9.0,0.9997309658326609,1.0,118
sigma_IIA_average,ranked-pairs,lex,10.0,0.9997181964573268,1.0,69
sigma_IIA_average,ranked-pairs,lex,11.0,0.9993006993006992,1.0,26
sigma_IIA_average,ranked-pairs,lex,12.0,0.9994318181818183,1.0,8
sigma_IIA_average,ranked-pairs,lex,13.0,0.9988344988344989,1.0,6
sigma_IIA_average,ranked-pairs,lex,14.0,1.0,1.0,1
sigma_IIA_average,stv,lex,,0.9405920585126193,0.946113455599437,1070
sigma_IIA_average,stv,lex,3.0,1.0,1.0,2
sigma_IIA_average,stv,lex,4.0,0.8773148148148149,0.9467592592592593,36
sigma_IIA_average,stv,lex,5.0,0.8890909090909092,0.916666666666667,110
sigma_IIA_average,stv,lex,6.0,0.9241463414634146,0.936829268292683,205
sigma_IIA_average,stv,lex,7.0,0.9390070921985816,0.9468760553866935,282
sigma_IIA_average,stv,lex,8.0,0.9541637911203128,0.9599436392914653,207
sigma_IIA_average,stv,lex,9.0,0.9605192359429647,0.9658662900188323,118
sigma_IIA_average,stv,lex,10.0,0.9643317230273752,0.971135265700483,69
sigma_IIA_average,stv,lex,11.0,0.9692307692307693,0.9778554778554778,26
sigma_IIA_average,stv,lex,12.0,0.9706439393939394,0.978030303030303,8
sigma_IIA_average,stv,lex,13.0,0.9741647241647241,0.987956487956488,6
sigma_IIA_average,stv,lex,14.0,0.9844322344322345,0.9844322344322345,1
