VoteKit PreferenceProfile
Candidates
(Zohran Kwame Mamdani:Zo),(overvote:ov),(Jessica Ramos:Je),(Write-in:Wr),(Paperboy Love Prince:Pa),(Michael Blake:Mi),(Zellnor Myrie:Ze),(Whitney R. Tilson:Wh),(Brad Lander:Br),(Andrew M. Cuomo:An),(Selma K. Bartholomew:Se),(Adrienne E. Adams:Ad),(Scott M. Stringer:Sc)
Max Ranking Length
5
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,&,Weight,&
&,{'Ad'},{'Ze'},{'Br'},{'Je'},{'Wh'},&,3/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Je'},{'Zo'},&,9/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Je'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},{'An'},&,7/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},{'Je'},&,3/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},{'Pa'},&,3/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},{'Sc'},&,22/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},{'Se'},&,2/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},{'Wh'},&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},{'Zo'},&,30/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},,&,7/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Pa'},{'An'},&,3/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Pa'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Pa'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Pa'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},{'An'},&,44/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},{'Je'},&,12/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},{'Mi'},&,32/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},{'Pa'},&,6/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},{'Se'},&,8/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},{'Wh'},&,8/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},{'Zo'},&,81/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},,&,41/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Se'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Se'},{'Je'},&,2/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Se'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Se'},{'Zo'},&,8/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Se'},,&,3/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wh'},{'An'},&,5/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wh'},{'Je'},&,2/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wh'},{'Mi'},&,4/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wh'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wh'},{'Sc'},&,10/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wh'},{'Zo'},&,9/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wh'},,&,6/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Wr'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},,,&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'An'},&,28/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'Je'},&,14/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'Mi'},&,31/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'Pa'},&,6/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'Sc'},&,59/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'Se'},&,7/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'Wh'},&,4/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},{'Wr'},&,3/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Zo'},,&,52/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Mi'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Br'},{'Sc'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},,,&,98/1,&
&,{'Ad'},{'Ze'},{'Je'},{'An'},{'Br'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'An'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'An'},{'Sc'},&,4/1,&
&,{'Ad'},{'Ze'},{'Je'},{'An'},,&,4/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},{'An'},&,6/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},{'Mi'},&,3/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},{'Sc'},&,5/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},{'Se'},&,3/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},{'Wh'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},{'Zo'},&,4/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Br'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Mi'},{'An'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Mi'},{'Br'},&,3/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Mi'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Mi'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Mi'},{'Wh'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Mi'},{'Zo'},&,4/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Mi'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Pa'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Pa'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Pa'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Sc'},{'An'},&,3/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Sc'},{'Br'},&,5/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Sc'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Sc'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Sc'},{'Zo'},&,7/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Sc'},,&,6/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},{'Br'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},{'Wh'},&,4/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},{'Zo'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Wh'},{'An'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Wh'},{'Mi'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Wh'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Wh'},{'Se'},&,4/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Wh'},{'Zo'},&,3/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Se'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},{'An'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},{'Br'},&,4/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},{'Mi'},&,3/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},{'Zo'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Je'},,,&,1/1,&
&,{'Ad'},{'Ze'},{'Je'},,,&,16/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},{'Br'},&,9/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},{'Je'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},{'Sc'},&,5/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},{'Zo'},&,13/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},,&,9/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'An'},&,22/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'Je'},&,8/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'Sc'},&,40/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'Se'},&,7/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'Wh'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},{'Zo'},&,33/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},,&,15/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},{'An'},&,4/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},{'Br'},&,4/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},{'Se'},&,3/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},{'Wh'},&,3/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},{'Zo'},&,5/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Je'},,&,4/1,&
&,{'Ad'},{'Ze'},{'Mi'},,,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},{'Br'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},{'Zo'},&,5/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Pa'},,&,3/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},{'An'},&,11/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},{'Br'},&,24/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},{'Je'},&,4/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},{'Wh'},&,4/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},{'Zo'},&,13/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},,&,14/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'An'},&,4/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'Br'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'Je'},&,6/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'Wh'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},{'Zo'},&,8/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Se'},,&,5/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},{'Br'},&,3/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},{'Se'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Wh'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'An'},&,13/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'Br'},&,28/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'Je'},&,4/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'Sc'},&,14/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'Se'},&,5/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'Wh'},&,3/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Zo'},,&,9/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'An'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Br'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Mi'},{'Sc'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Mi'},,,&,70/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'An'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Je'},{'Br'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Je'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Mi'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Mi'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Mi'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Sc'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Wh'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Wh'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Wr'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Zo'},{'Br'},&,3/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Zo'},{'Wh'},&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Pa'},,,&,4/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},{'Br'},&,15/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},{'Je'},&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},{'Mi'},&,4/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},{'Wh'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},{'Zo'},&,5/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},,&,18/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},{'An'},&,31/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},{'Je'},&,15/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},{'Mi'},&,22/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},{'Se'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},{'Wh'},&,6/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},{'Zo'},&,29/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Br'},,&,26/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},{'An'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},{'Br'},&,5/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},{'Mi'},&,4/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},{'Se'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},{'Wh'},&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},{'Zo'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Je'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},{'An'},&,8/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},{'Br'},&,12/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},{'Je'},&,4/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},{'Se'},&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},{'Wh'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},{'Wr'},&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Mi'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Pa'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Pa'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Pa'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Pa'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Se'},{'Br'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Se'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Se'},{'Mi'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Se'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Se'},,&,6/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},{'An'},&,6/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},{'Br'},&,7/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},{'Mi'},&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wh'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wr'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wr'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Wr'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Zo'},{'An'},&,17/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Zo'},{'Br'},&,26/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Zo'},{'Je'},&,4/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Zo'},{'Mi'},&,3/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Zo'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Zo'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'Zo'},,&,5/1,&
&,{'Ad'},{'Ze'},{'Sc'},,,&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},{'An'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Sc'},,,&,59/1,&
&,{'Ad'},{'Ze'},{'Se'},{'An'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'An'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'An'},{'Zo'},&,6/1,&
&,{'Ad'},{'Ze'},{'Se'},{'An'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Br'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Br'},{'Mi'},&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Br'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Br'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Je'},{'Br'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Je'},{'Mi'},&,4/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Je'},{'Pa'},&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Je'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Je'},{'Wh'},&,4/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Je'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Je'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},{'An'},&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},{'Br'},&,7/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},{'Zo'},&,4/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Mi'},,&,4/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Pa'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Pa'},{'Br'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Pa'},{'Zo'},&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Sc'},{'An'},&,3/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Sc'},{'Br'},&,3/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Sc'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Sc'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Sc'},{'Zo'},&,18/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Wh'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Wh'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Wr'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Zo'},{'An'},&,4/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Zo'},{'Br'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Zo'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Zo'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Zo'},{'Sc'},&,4/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Se'},{'Zo'},,&,2/1,&
&,{'Ad'},{'Ze'},{'Se'},,,&,11/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},{'Br'},&,5/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},{'Je'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},{'Sc'},&,2/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},{'Wr'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},{'Zo'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'An'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Br'},{'An'},&,3/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Br'},{'Je'},&,2/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Br'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Br'},{'Sc'},&,5/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Br'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Br'},{'Zo'},&,2/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Br'},,&,5/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Je'},{'An'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Je'},{'Mi'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Je'},{'Pa'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Je'},{'Sc'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Je'},{'Se'},&,2/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Je'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Mi'},{'An'},&,2/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Mi'},{'Br'},&,2/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Mi'},{'Sc'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Mi'},{'Se'},&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Pa'},,&,1/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Sc'},{'An'},&,4/1,&
&,{'Ad'},{'Ze'},{'Wh'},{'Sc'},{'Br'},&,5/1,&
