VoteKit RankProfile
Candidates
(Laura Streib:Laura ),(Michelle DePass:Michel),(Nabil Zaghloul:Nabil ),(Jennifer Park:Jennif),(Will Mespelt:Will M),(Debbie Kitchin:Debbie),(Chris Olson:Chris ),(Jonathan Tasini:Jonath),(Antonio Jamal PettyJohnBlue:Antoni),(Nat West:Nat We),(Reuben Berlin:Reuben),(Marnie Glickman:Marnie),(Sameer Kanal:Sameer),(Tiffani Penson:Tiffan),(Elana Pirtle-Guiney:Elana ),(Sam Sachs:Sam Sa),(Dan Ryan:Dan Ry),(Bob Simril:Bob Si),(Liz Taylor:Liz Ta),(Mariah Hudson:Mariah),(Michael (Mike) Marshall:Michae),(James Armstrong:James )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Sameer'},{'Michae'},{'Debbie'},{'Bob Si'},{'Nat We'},{'Mariah'},&,1.0,&
{'Debbie'},{'Chris '},{'Marnie'},{'James '},{'Jonath'},{'Mariah'},&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Debbie'},{'Michae'},{'Bob Si'},{'Sameer'},{'Nat We'},{'Mariah'},&,1.0,&
{'Michel'},,,,,,&,1.0,&
{'Nat We'},{'Jonath'},{'Tiffan'},{'Mariah'},{'Michae'},{'Elana '},&,1.0,&
{'Dan Ry'},{'Nabil '},{'Marnie'},{'Tiffan'},{'James '},{'Mariah'},&,1.0,&
{'Michel'},{'Sameer'},{'Michae'},{'Jennif'},{'Tiffan'},,&,1.0,&
{'Nat We'},{'Tiffan'},{'Jonath'},,,,&,1.0,&
{'Nat We'},{'Jonath'},{'Tiffan'},{'Mariah'},{'Michae'},{'Elana '},&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Dan Ry'},{'Jonath'},{'Tiffan'},{'Elana '},{'Liz Ta'},,&,1.0,&
{'Elana '},{'Nat We'},{'Marnie'},{'Michel'},{'Sameer'},{'Debbie'},&,1.0,&
{'Elana '},{'Nat We'},{'Marnie'},{'Michel'},{'Sameer'},{'Debbie'},&,1.0,&
{'Sameer'},{'Marnie'},{'Elana '},{'Nat We'},{'Michel'},{'Debbie'},&,1.0,&
{'Dan Ry'},{'Elana '},{'Michel'},{'Marnie'},{'Michae'},{'James '},&,1.0,&
{'Tiffan'},{'Michae'},{'Dan Ry'},,,,&,1.0,&
