rule,n_cands,mean_sigma_UM_worst_case_asin_lex,variance_sigma_UM_worst_case_asin_lex,mean_sigma_UM_worst_case_asin_random,variance_sigma_UM_worst_case_asin_random,mean_sigma_UM_average_asin_lex,variance_sigma_UM_average_asin_lex,mean_sigma_UM_average_asin_random,variance_sigma_UM_average_asin_random,mean_sigma_UM_worst_case_odds_lex,variance_sigma_UM_worst_case_odds_lex,mean_sigma_UM_worst_case_odds_random,variance_sigma_UM_worst_case_odds_random,mean_sigma_UM_average_odds_lex,variance_sigma_UM_average_odds_lex,mean_sigma_UM_average_odds_random,variance_sigma_UM_average_odds_random,mean_sigma_UM_winner_set_worst_case_asin_lex,variance_sigma_UM_winner_set_worst_case_asin_lex,mean_sigma_UM_winner_set_worst_case_asin_random,variance_sigma_UM_winner_set_worst_case_asin_random,mean_sigma_UM_winner_set_average_asin_lex,variance_sigma_UM_winner_set_average_asin_lex,mean_sigma_UM_winner_set_average_asin_random,variance_sigma_UM_winner_set_average_asin_random,mean_sigma_UM_winner_set_worst_case_odds_lex,variance_sigma_UM_winner_set_worst_case_odds_lex,mean_sigma_UM_winner_set_worst_case_odds_random,variance_sigma_UM_winner_set_worst_case_odds_random,mean_sigma_UM_winner_set_average_odds_lex,variance_sigma_UM_winner_set_average_odds_lex,mean_sigma_UM_winner_set_average_odds_random,variance_sigma_UM_winner_set_average_odds_random,mean_sigma_IIA_worst_case_lex,variance_sigma_IIA_worst_case_lex,mean_sigma_IIA_worst_case_random,variance_sigma_IIA_worst_case_random,mean_sigma_IIA_average_lex,variance_sigma_IIA_average_lex,mean_sigma_IIA_average_random,variance_sigma_IIA_average_random,mean_sigma_IIA_all_subset_worst_case_lex,variance_sigma_IIA_all_subset_worst_case_lex,mean_sigma_IIA_all_subset_worst_case_random,variance_sigma_IIA_all_subset_worst_case_random,mean_sigma_IIA_all_subset_average_lex,variance_sigma_IIA_all_subset_average_lex,mean_sigma_IIA_all_subset_average_random,variance_sigma_IIA_all_subset_average_random,mean_sigma_IIA_winner_set_worst_case_lex,variance_sigma_IIA_winner_set_worst_case_lex,mean_sigma_IIA_winner_set_worst_case_random,variance_sigma_IIA_winner_set_worst_case_random,mean_sigma_IIA_winner_set_average_lex,variance_sigma_IIA_winner_set_average_lex,mean_sigma_IIA_winner_set_average_random,variance_sigma_IIA_winner_set_average_random
2-approval,8,0.8612957904945941,0.004516966020537664,0.8612957904945941,0.004516966020537664,1.0,0.0,1.0,0.0,0.8953799579740378,0.005430129036559947,0.8953799579740378,0.005430129036559947,1.0,0.0,1.0,0.0,0.9572815056737131,0.004878434650412507,0.9572815056737131,0.004878434650412507,1.0,0.0,1.0,0.0,0.9701719203186149,0.003359676483962844,0.9701719203186149,0.003359676483962844,1.0,0.0,1.0,0.0,0.9183344835518747,0.003113078257355668,0.9185645272601795,0.003139644151436389,0.9707556935817805,0.0005611482848407865,0.9707556935817805,0.0005635445734689592,0.045410628019323676,0.028318980606315207,0.045410628019323676,0.028318980606315207,0.9174272486772489,0.002556358693426453,0.9174194307855994,0.002556770634265354,1.0,0.0,1.0,0.0,0.969957729468599,0.0032306854448178493,0.9695048309178744,0.0032803237823519796
2-approval,9,0.8427145626934702,0.005645146628246379,0.8427145626934702,0.005645146628246379,1.0,0.0,1.0,0.0,0.8717423046292678,0.009146418896962043,0.8717423046292678,0.009146418896962043,1.0,0.0,1.0,0.0,0.9469938808311622,0.0071828677780801,0.9469938808311622,0.0071828677780801,1.0,0.0,1.0,0.0,0.9580038128504694,0.006738182234464643,0.9580038128504694,0.006738182234464643,1.0,0.0,1.0,0.0,0.9249394673123487,0.0017379330358974958,0.9249394673123487,0.0017379330358974958,0.9745090126446059,0.00024592252554250354,0.9745090126446059,0.00024592252554250354,0.04576271186440678,0.032312553863832236,0.04576271186440678,0.032312553863832236,0.9251624451422518,0.0016365353080306504,0.9251572431144067,0.0016359771815709998,1.0,0.0,1.0,0.0,0.9694758317639672,0.002196108730955307,0.9694758317639672,0.002196108730955307
plurality,6,0.7993269178486458,0.009359439343891636,0.7995490808462233,0.009372315696277342,1.0,0.0,1.0,0.0,0.8035253626377387,0.0168079310259778,0.8035253626377387,0.0168079310259778,1.0,0.0,1.0,0.0,0.895974184203607,0.01439089883566814,0.895974184203607,0.01439089883566814,0.9998774097818074,3.065785765691601e-06,0.9998774097818074,3.065785765691601e-06,0.8999214692150764,0.017922033344342645,0.9007298315844143,0.01794922213851966,0.9999848283174163,4.6956710293800566e-08,0.9999848283174163,4.6956710293800566e-08,0.7951219512195122,0.010512790005948843,0.7951219512195122,0.010512790005948843,0.9267479674796749,0.0017411858021019226,0.9269918699186993,0.0017592438363408015,0.040650406504065054,0.024092801903628797,0.040650406504065054,0.024092801903628797,0.872515243902439,0.004349030086051622,0.8725025406504066,0.004348383240072873,1.0,0.0,1.0,0.0,0.9289295392953929,0.004911162153626957,0.9289295392953929,0.004911162153626957
plurality,7,0.7781368637216899,0.00815096875550235,0.7781368637216899,0.00815096875550235,0.99995024430507,6.956517990095863e-07,0.99995024430507,6.956517990095863e-07,0.7754827033989908,0.01608718046943635,0.7754827033989908,0.01608718046943635,0.999996557109186,3.33083270092502e-09,0.999996557109186,3.33083270092502e-09,0.8699217596061338,0.015145834791614113,0.8699913862239718,0.01512833059330619,0.9997401215291923,1.897784630459625e-05,0.9997401215291923,1.897784630459625e-05,0.8729473651600586,0.0195280054045998,0.8730657737727036,0.019495250293365556,0.9999076476781911,2.396635327528993e-06,0.9999076476781911,2.396635327528993e-06,0.8401891252955083,0.005256386611449232,0.8401891252955083,0.005256386611449232,0.9465045592705167,0.0007329050024516618,0.9465045592705167,0.0007367647023599939,0.020685579196217496,0.014249017766823717,0.020685579196217496,0.014249017766823717,0.8767204122340425,0.002932818932622246,0.8767194887706855,0.00293230819226721,1.0,0.0,1.0,0.0,0.9318642350557244,0.0030839532634139117,0.9320330969267141,0.0031029152938441785
plurality,8,0.7621968187164143,0.0061578485415100664,0.7621968187164143,0.0061578485415100664,1.0,0.0,1.0,0.0,0.7560968258171811,0.01421780863158155,0.7560968258171811,0.01421780863158155,1.0,0.0,1.0,0.0,0.8713604163105056,0.014373764859435097,0.872863200016335,0.014290661155788281,1.0,0.0,1.0,0.0,0.8775738453085037,0.019133983321310714,0.8775738453085037,0.019133983321310714,1.0,0.0,1.0,0.0,0.8672647803082586,0.003337247833702159,0.8672647803082586,0.003337247833702159,0.9597423510466987,0.00038467295558642907,0.9598573729008509,0.00037817370485577426,0.0032206119162640906,0.002136702269727544,0.0032206119162640906,0.002136702269727544,0.8870338919082125,0.0019512175925370124,0.8871906091844951,0.0019514366864503481,0.998389694041868,0.000534175567431886,0.998389694041868,0.000534175567431886,0.9425825281803542,0.00246668250069365,0.9441928341384863,0.001910951911881776
plurality,9,0.752059461629596,0.006241903761691649,0.752059461629596,0.006241903761691649,0.9998729836019498,1.8875803487173992e-06,0.9998729836019498,1.8875803487173992e-06,0.7414329422007417,0.015979659400120503,0.7414329422007417,0.015979659400120503,0.999990612488207,1.0310669186790405e-08,0.999990612488207,1.0310669186790405e-08,0.847614529313472,0.016602298532926302,0.847614529313472,0.016602298532926302,1.0,0.0,1.0,0.0,0.8471669590417817,0.024301742163834877,0.8471669590417817,0.024301742163834877,1.0,0.0,1.0,0.0,0.8940677966101694,0.0019658466661585643,0.8940677966101694,0.0019658466661585643,0.967917675544794,0.0002021963306692653,0.967917675544794,0.0002003280378405205,0.0,0.0,0.0,0.0,0.8963570041364005,0.0011778268052195348,0.8963622455735474,0.0011782110295632234,1.0,0.0,1.0,0.0,0.9433458882611424,0.002178468141181072,0.9433458882611424,0.002178468141181072
stv,6,0.835100160893481,0.008091646005263076,0.835100160893481,0.008091646005263076,1.0,0.0,1.0,0.0,0.8525293877447503,0.01097753502426914,0.8525293877447503,0.01097753502426914,1.0,0.0,1.0,0.0,0.9235168201754144,0.010610023374669578,0.9235168201754144,0.010610023374669578,0.9998774097818074,3.065785765691601e-06,0.9998774097818074,3.065785765691601e-06,0.9322239516875175,0.011518694289647923,0.9322239516875175,0.011518694289647923,0.9999848283174163,4.6956710293800566e-08,0.9999848283174163,4.6956710293800566e-08,0.8141463414634148,0.010873051754907796,0.8141463414634148,0.010873051754907796,0.930569105691057,0.0021549606715579347,0.930569105691057,0.0021549606715579347,0.08211382113821139,0.05518143961927424,0.08211382113821139,0.05518143961927424,0.8861229674796749,0.004422657050408157,0.8861229674796749,0.004422657050408157,1.0,0.0,1.0,0.0,0.9363143631436315,0.003750523277590499,0.9363143631436315,0.003750523277590499
stv,7,0.8011275909143829,0.00823304700290512,0.8011275909143829,0.00823304700290512,1.0,0.0,1.0,0.0,0.8085156859724231,0.014787694675543533,0.8085156859724231,0.014787694675543533,1.0,0.0,1.0,0.0,0.9116189404376623,0.011646478926477456,0.9116189404376623,0.011646478926477456,1.0,0.0,1.0,0.0,0.9200481488822257,0.012765136402663134,0.9200481488822257,0.012765136402663134,1.0,0.0,1.0,0.0,0.8446808510638298,0.00539526851432691,0.8446808510638298,0.00539526851432691,0.9429584599797366,0.0011273437497326775,0.9429584599797366,0.0011273437497326775,0.03368794326241135,0.02339230923997787,0.03368794326241135,0.02339230923997787,0.8856466090425532,0.0030678686740590556,0.8856466090425532,0.0030678686740590556,1.0,0.0,1.0,0.0,0.9373100303951369,0.002748555221595707,0.9373100303951369,0.002748555221595707
stv,8,0.7885861484841473,0.005458159080001035,0.7885861484841473,0.005458159080001035,1.0,0.0,1.0,0.0,0.7966721625157757,0.011006066196384437,0.7966721625157757,0.011006066196384437,1.0,0.0,1.0,0.0,0.905946827852924,0.011225950605547564,0.905946827852924,0.011225950605547564,1.0,0.0,1.0,0.0,0.9169325582389778,0.012322745855400396,0.9169325582389778,0.012322745855400396,1.0,0.0,1.0,0.0,0.8755463538072237,0.002684742905384825,0.8755463538072237,0.002684742905384825,0.95703933747412,0.00044215246134860853,0.95703933747412,0.00044215246134860853,0.010466988727858294,0.005929089489966059,0.010466988727858294,0.005929089489966059,0.8949267274844721,0.001916037856716587,0.8949267274844721,0.001916037856716587,1.0,0.0,1.0,0.0,0.9483192431561995,0.001568208839309098,0.9483192431561995,0.001568208839309098
stv,9,0.7769279984311467,0.005401897554560593,0.7769279984311467,0.005401897554560593,1.0,0.0,1.0,0.0,0.7800822850939394,0.01213209343858547,0.7800822850939394,0.01213209343858547,1.0,0.0,1.0,0.0,0.9024919327230453,0.01149391169376767,0.9024919327230453,0.01149391169376767,1.0,0.0,1.0,0.0,0.9129261007103344,0.012357738798326566,0.9129261007103344,0.012357738798326566,1.0,0.0,1.0,0.0,0.8925544794188862,0.0012862280074339408,0.8925544794188862,0.0012862280074339408,0.9632095776163572,0.000223570867269312,0.9632095776163572,0.000223570867269312,0.0028248587570621473,0.000933639758690032,0.0028248587570621473,0.000933639758690032,0.9012347722457628,0.0011116101767399706,0.9012355604317999,0.0011115433611850094,1.0,0.0,1.0,0.0,0.9421688637790333,0.0021606920913806453,0.9421688637790333,0.0021606920913806453
ranked-pairs,6,0.998893619130561,4.178911466661188e-05,0.998893619130561,4.178911466661188e-05,1.0,0.0,1.0,0.0,0.9997888787735156,1.6554610756085574e-06,0.9997888787735156,1.6554610756085574e-06,1.0,0.0,1.0,0.0,0.9995126738245786,1.615687628732273e-05,0.9995126738245786,1.615687628732273e-05,1.0,0.0,1.0,0.0,0.9999194068399899,4.562478501455306e-07,0.9999194068399899,4.562478501455306e-07,1.0,0.0,1.0,0.0,0.9970731707317072,0.0002841165972635335,0.9970731707317072,0.0002841165972635335,0.9995121951219512,7.892127701764873e-06,0.9995121951219512,7.892127701764873e-06,0.9707317073170731,0.02841165972635336,0.9707317073170731,0.02841165972635336,0.9988109756097562,4.68903368530637e-05,0.9988109756097562,4.68903368530637e-05,1.0,0.0,1.0,0.0,0.999119241192412,5.662414347720722e-05,0.999119241192412,5.662414347720722e-05
ranked-pairs,7,0.9988583708959348,6.890585320126729e-05,0.9988583708959348,6.890585320126729e-05,1.0,0.0,1.0,0.0,0.9996624679800005,1.2804215144436647e-05,0.9996624679800005,1.2804215144436647e-05,1.0,0.0,1.0,0.0,0.9992095729282663,5.898439485531817e-05,0.9992095729282663,5.898439485531817e-05,1.0,0.0,1.0,0.0,0.9997144907646177,1.2410441921828307e-05,0.9997144907646177,1.2410441921828307e-05,1.0,0.0,1.0,0.0,0.9978723404255319,0.00016883791895109222,0.9978723404255319,0.00016883791895109222,0.9996960486322188,3.4456718153284055e-06,0.9996960486322188,3.4456718153284055e-06,0.9680851063829787,0.030896333182435492,0.9680851063829787,0.030896333182435492,0.9989804964539006,3.4802534062044104e-05,0.9989804964539006,3.4802534062044104e-05,1.0,0.0,1.0,0.0,0.9990712597095576,6.145551290952133e-05,0.9990712597095576,6.145551290952133e-05
ranked-pairs,8,0.9973377963736307,0.00014566127085638986,0.9973377963736307,0.00014566127085638986,1.0,0.0,1.0,0.0,0.9992620546241017,2.2431731098648976e-05,0.9992620546241017,2.2431731098648976e-05,1.0,0.0,1.0,0.0,0.9987155870004112,6.513278141068111e-05,0.9987155870004112,6.513278141068111e-05,1.0,0.0,1.0,0.0,0.9996743538471379,5.674738977423387e-06,0.9996743538471379,5.674738977423387e-06,1.0,0.0,1.0,0.0,0.9970094317920405,0.00015537343629681206,0.9970094317920405,0.00015537343629681206,0.9996261789740052,2.4277099421376665e-06,0.9996261789740052,2.4277099421376665e-06,0.9371980676328503,0.0588578496581017,0.9371980676328503,0.0588578496581017,0.9985981711525189,2.986594645597999e-05,0.9985981711525189,2.986594645597999e-05,1.0,0.0,1.0,0.0,0.9989935587761676,4.0922127055992455e-05,0.9989935587761676,4.0922127055992455e-05
ranked-pairs,9,0.9990197475533938,5.9917929004423704e-05,0.9990197475533938,5.9917929004423704e-05,1.0,0.0,1.0,0.0,0.9997039641238917,6.384296739472164e-06,0.9997039641238917,6.384296739472164e-06,1.0,0.0,1.0,0.0,0.9993766919337289,4.5456014620995536e-05,0.9993766919337289,4.5456014620995536e-05,1.0,0.0,1.0,0.0,0.9997777248126059,5.780532294934175e-06,0.9997777248126059,5.780532294934175e-06,1.0,0.0,1.0,0.0,0.99909200968523,5.322259613411573e-05,0.99909200968523,5.322259613411573e-05,0.9998991121872478,6.570690880754985e-07,0.9998991121872478,6.570690880754985e-07,0.9830508474576272,0.016661878770468257,0.9830508474576272,0.016661878770468257,0.9995619656098669,1.238654086130623e-05,0.9995619656098669,1.238654086130623e-05,1.0,0.0,1.0,0.0,0.9996861268047709,1.1526416773950906e-05,0.9996861268047709,1.1526416773950906e-05
