rule,n_cands,mean_sigma_UM_worst_case_asin_lex,variance_sigma_UM_worst_case_asin_lex,mean_sigma_UM_worst_case_asin_random,variance_sigma_UM_worst_case_asin_random,mean_sigma_UM_average_asin_lex,variance_sigma_UM_average_asin_lex,mean_sigma_UM_average_asin_random,variance_sigma_UM_average_asin_random,mean_sigma_UM_worst_case_odds_lex,variance_sigma_UM_worst_case_odds_lex,mean_sigma_UM_worst_case_odds_random,variance_sigma_UM_worst_case_odds_random,mean_sigma_UM_average_odds_lex,variance_sigma_UM_average_odds_lex,mean_sigma_UM_average_odds_random,variance_sigma_UM_average_odds_random,mean_sigma_UM_winner_set_worst_case_asin_lex,variance_sigma_UM_winner_set_worst_case_asin_lex,mean_sigma_UM_winner_set_worst_case_asin_random,variance_sigma_UM_winner_set_worst_case_asin_random,mean_sigma_UM_winner_set_average_asin_lex,variance_sigma_UM_winner_set_average_asin_lex,mean_sigma_UM_winner_set_average_asin_random,variance_sigma_UM_winner_set_average_asin_random,mean_sigma_UM_winner_set_worst_case_odds_lex,variance_sigma_UM_winner_set_worst_case_odds_lex,mean_sigma_UM_winner_set_worst_case_odds_random,variance_sigma_UM_winner_set_worst_case_odds_random,mean_sigma_UM_winner_set_average_odds_lex,variance_sigma_UM_winner_set_average_odds_lex,mean_sigma_UM_winner_set_average_odds_random,variance_sigma_UM_winner_set_average_odds_random,mean_sigma_IIA_worst_case_lex,variance_sigma_IIA_worst_case_lex,mean_sigma_IIA_worst_case_random,variance_sigma_IIA_worst_case_random,mean_sigma_IIA_average_lex,variance_sigma_IIA_average_lex,mean_sigma_IIA_average_random,variance_sigma_IIA_average_random,mean_sigma_IIA_all_subset_worst_case_lex,variance_sigma_IIA_all_subset_worst_case_lex,mean_sigma_IIA_all_subset_worst_case_random,variance_sigma_IIA_all_subset_worst_case_random,mean_sigma_IIA_all_subset_average_lex,variance_sigma_IIA_all_subset_average_lex,mean_sigma_IIA_all_subset_average_random,variance_sigma_IIA_all_subset_average_random,mean_sigma_IIA_winner_set_worst_case_lex,variance_sigma_IIA_winner_set_worst_case_lex,mean_sigma_IIA_winner_set_worst_case_random,variance_sigma_IIA_winner_set_worst_case_random,mean_sigma_IIA_winner_set_average_lex,variance_sigma_IIA_winner_set_average_lex,mean_sigma_IIA_winner_set_average_random,variance_sigma_IIA_winner_set_average_random
borda,6,0.96923970877303,0.0020354750517548666,0.96923970877303,0.0020354750517548666,1.0,0.0,1.0,0.0,0.9858769443089506,0.0006419836635547062,0.9858769443089506,0.0006419836635547062,1.0,0.0,1.0,0.0,0.9902740014966994,0.0008019309720857442,0.9902740014966994,0.0008019309720857442,1.0,0.0,1.0,0.0,0.9957432027472277,0.00022086993930215562,0.9957432027472277,0.00022086993930215562,1.0,0.0,1.0,0.0,0.9517073170731708,0.0042531826293872674,0.9517073170731708,0.0042531826293872674,0.9853658536585366,0.00050670896952872,0.9853658536585366,0.00050670896952872,0.5800000000000001,0.2073235772357724,0.5800000000000001,0.2073235772357724,0.9760289634146342,0.0010503907282784718,0.9760213414634148,0.0010515297994538636,1.0,0.0,1.0,0.0,0.9822493224932248,0.0018322335323624247,0.9822493224932248,0.0018322335323624247
borda,7,0.9557410515387151,0.0023910563114458755,0.9557410515387151,0.0023910563114458755,1.0,0.0,1.0,0.0,0.9794474848919841,0.0008694178246331349,0.9794474848919841,0.0008694178246331349,1.0,0.0,1.0,0.0,0.9912544799705044,0.0007532756774280649,0.9912544799705044,0.0007532756774280649,1.0,0.0,1.0,0.0,0.996056727483587,0.00020119621263016755,0.996056727483587,0.00020119621263016755,1.0,0.0,1.0,0.0,0.9586288416075651,0.002118214487310608,0.9586288416075651,0.002118214487310608,0.9885173927727121,0.00022195555619427675,0.9885173927727121,0.00022195555619427675,0.5011820330969268,0.20767393770713524,0.5014184397163121,0.20784668779236457,0.9794280067966903,0.0005492839398885717,0.9794233894799054,0.0005494222061151,1.0,0.0,1.0,0.0,0.9886018237082067,0.0009254682709057669,0.9886018237082067,0.0009254682709057669
borda,8,0.9536043368805598,0.002274441867041099,0.9536043368805598,0.002274441867041099,1.0,0.0,1.0,0.0,0.9790613402759759,0.0008430277616436152,0.9790613402759759,0.0008430277616436152,1.0,0.0,1.0,0.0,0.9903512659981613,0.0008809525427994568,0.9903512659981613,0.0008809525427994568,1.0,0.0,1.0,0.0,0.9954488918731831,0.00033202754820654124,0.9954488918731831,0.00033202754820654124,1.0,0.0,1.0,0.0,0.9675638371290545,0.0012154690343546232,0.9675638371290545,0.0012154690343546232,0.9911433172302737,0.00015297218640853948,0.9911433172302737,0.00015297218640853948,0.4341384863123994,0.20350445103088105,0.4341384863123994,0.20350445103088105,0.9811889845008053,0.0004599573653798082,0.9811927586553946,0.00045995912216976147,1.0,0.0,1.0,0.0,0.985859500805153,0.0013353933370025496,0.985859500805153,0.0013353933370025496
borda,9,0.9437244608026513,0.0026216128399900156,0.9437244608026513,0.0026216128399900156,1.0,0.0,1.0,0.0,0.9727116493980988,0.0010601827133574987,0.9727116493980988,0.0010601827133574987,1.0,0.0,1.0,0.0,0.9928724583048364,0.0007211392096814441,0.9928724583048364,0.0007211392096814441,1.0,0.0,1.0,0.0,0.9963722710756482,0.00024250004215224547,0.9963722710756482,0.00024250004215224547,1.0,0.0,1.0,0.0,0.9763922518159803,0.00048037744255990207,0.9763922518159803,0.00048037744255990207,0.9939131019639496,5.0359086786426966e-05,0.9939131019639496,5.0359086786426966e-05,0.4319209039548022,0.1827569504293146,0.4319209039548022,0.1827569504293146,0.9872359182682606,0.00014397489418479815,0.9872386769193905,0.0001439381863578822,1.0,0.0,1.0,0.0,0.9907407407407407,0.0005202157587593875,0.9910546139359698,0.0005143047757983873
3-approval,6,0.9595140384524797,0.003116188208118042,0.9595140384524797,0.003116188208118042,1.0,0.0,1.0,0.0,0.9778949979986152,0.0013944892802903394,0.9778949979986152,0.0013944892802903394,1.0,0.0,1.0,0.0,0.9870756727288511,0.001281219743224091,0.9870756727288511,0.001281219743224091,1.0,0.0,1.0,0.0,0.993297499153784,0.0005608405987346158,0.993297499153784,0.0005608405987346158,1.0,0.0,1.0,0.0,0.9360975609756099,0.005623795359904817,0.9360975609756099,0.005623795359904817,0.9732520325203252,0.001223570625950162,0.9733333333333333,0.0012238482384823851,0.547479674796748,0.1971711547359376,0.547479674796748,0.1971711547359376,0.9622662601626017,0.0022233532247670036,0.9622865853658538,0.0022233623132725225,0.9951219512195122,0.004854253420582986,0.9951219512195122,0.004854253420582986,0.974728997289973,0.0067264396559954765,0.974728997289973,0.0067264396559954765
3-approval,7,0.9575391682275601,0.0027356072221407387,0.9571131916735268,0.0027504217274498433,1.0,0.0,1.0,0.0,0.9788069610431377,0.001217848386556615,0.9788069610431377,0.001217848386556615,1.0,0.0,1.0,0.0,0.9921944109174371,0.0007956566514957205,0.9917684343634033,0.0008399957985252843,1.0,0.0,1.0,0.0,0.9959952837840522,0.0002961014055396879,0.9959952837840522,0.0002961014055396879,1.0,0.0,1.0,0.0,0.9569739952718679,0.002750811774502735,0.9567375886524825,0.002746173063058531,0.9811212428233707,0.0007304196933203811,0.9812225599459641,0.0007403461023931397,0.3783687943262411,0.19292452592927925,0.3813238770685579,0.1931421401785066,0.9539330304373522,0.002002075295770523,0.954082631501182,0.0020095042739884457,1.0,0.0,1.0,0.0,0.9842536305302262,0.002734775670910855,0.9842536305302262,0.002734775670910855
3-approval,8,0.9417885770957738,0.0037269238651410712,0.9417885770957738,0.0037269238651410712,1.0,0.0,1.0,0.0,0.9674396394433605,0.002352873986547076,0.9674396394433605,0.002352873986547076,1.0,0.0,1.0,0.0,0.9910084298258882,0.0008421874144689143,0.991270598877354,0.0008326056541147317,1.0,0.0,1.0,0.0,0.995673618652589,0.00030118462487129953,0.9957431553035722,0.00030078055707821565,1.0,0.0,1.0,0.0,0.9572118702553486,0.0016088771152233203,0.9569818265470438,0.0016220013019404898,0.9817690361168623,0.00044882204867602104,0.9815965033356338,0.00045277121171541124,0.25056360708534625,0.15047606452633408,0.25056360708534625,0.15047606452633408,0.9518432252127905,0.0016764053188039086,0.9516856093282724,0.0016860616024278413,0.998792270531401,0.000300473756680436,0.998792270531401,0.000300473756680436,0.9824376006441223,0.002607620737291937,0.9808776167471821,0.0031044599284049163
3-approval,9,0.9244571198540011,0.003828983366050047,0.9236971463169928,0.0037817366803128377,1.0,0.0,1.0,0.0,0.9560604948619621,0.002326514689501017,0.9560604948619621,0.002326514689501017,1.0,0.0,1.0,0.0,0.9923228803664583,0.0008785713563094892,0.9923228803664583,0.0008785713563094892,1.0,0.0,1.0,0.0,0.9956218533920626,0.0003295716193384413,0.9952942134615674,0.00033926241515221594,1.0,0.0,1.0,0.0,0.9661016949152542,0.0009046925291231107,0.9661016949152542,0.0009263113461414435,0.9872881355932205,0.00018484337354804256,0.9873217648641378,0.00018316168381659972,0.2449152542372882,0.15262480449423857,0.2449152542372882,0.15262480449423857,0.957762292549435,0.0009919828124256252,0.9575652854494551,0.0010061829381126125,1.0,0.0,1.0,0.0,0.9901129943502825,0.0012085989827592388,0.9901129943502825,0.0012085989827592388
2-approval,6,0.9174540073495026,0.005840501190423535,0.9174540073495026,0.005840501190423535,0.9995696901703067,3.777397610425979e-05,0.9995696901703067,3.777397610425979e-05,0.9435113190902116,0.004610065822266223,0.9435113190902116,0.004610065822266223,0.9998173593372826,6.804952782286256e-06,0.9998173593372826,6.804952782286256e-06,0.9735526598930562,0.0030498900769748206,0.9735526598930562,0.0030498900769748206,0.9993163455416482,9.534621735856771e-05,0.9993163455416482,9.534621735856771e-05,0.9830694353953812,0.0018012991589857234,0.9830694353953812,0.0018012991589857234,0.9995559433522125,4.022600651463701e-05,0.9995559433522125,4.022600651463701e-05,0.8912195121951222,0.00938631766805473,0.8917073170731707,0.009443426531826296,0.9559349593495936,0.0022479740894969925,0.9559349593495936,0.0022479740894969925,0.19463414634146345,0.12460535395597858,0.19463414634146345,0.12460535395597858,0.9100330284552846,0.0061272518837993265,0.9100457317073171,0.006128419317825038,1.0,0.0,1.0,0.0,0.9667344173441734,0.005458629857301285,0.9667344173441734,0.005458629857301285
2-approval,7,0.8695040837614351,0.0054505474434402,0.8695040837614351,0.0054505474434402,1.0,0.0,1.0,0.0,0.9016642428447612,0.00636036340751428,0.9016642428447612,0.00636036340751428,1.0,0.0,1.0,0.0,0.9634250632389346,0.004474470096816861,0.9634250632389346,0.004474470096816861,1.0,0.0,1.0,0.0,0.9742887433767835,0.0031581116643068607,0.9742887433767835,0.0031581116643068607,1.0,0.0,1.0,0.0,0.9087470449172579,0.00440733475289081,0.9087470449172579,0.00440733475289081,0.9634582911178656,0.0008615160431323745,0.9634245187436677,0.0008612981936399125,0.07836879432624114,0.053389458947403726,0.07836879432624114,0.053389458947403726,0.90848385786052,0.002993172908434362,0.9084709293735224,0.0029936696281582563,1.0,0.0,1.0,0.0,0.9639479905437351,0.004189268551509602,0.9639479905437351,0.004189268551509602
